id,label,start,end,text,doc_id,sentence,event,event_ids,start_event,end_event,class,complete_date,ISO_date
5560,c: overig,1511,1525,4 oktober 2022,59,Op 4 oktober 2022 heb ik van de Rechtbank Overijssel de uitspraak op het bovengenoemd beroep ontvangen.,heb ik van de Rechtbank Overijssel de uitspraak op het bovengenoemd beroep ontvangen,[7838],[1526],[1610],overig,4 oktober 2022,2022-10-04
5562,c: contact,1814,1828,7 oktober 2022,59,Op 7 oktober 2022 heb ik uw verzoek voor wat betreft de onderdelen 1 en 2 doorgestuurd aan RVO en u daarover per brief geïnformeerd.,heb ik uw verzoek voor wat betreft de onderdelen 1 en 2 doorgestuurd aan RVO en u daarover per brief geïnformeerd,[7839],[1828],[1942],contact,7 oktober 2022,2022-10-07
5563,c: overig,1962,1976,7 oktober 2022,59,Per e-mail van 7 oktober 2022 heb ik echter van RVO vernomen dat RVO al een identiek verzoek van u in behandeling had genomen onder het kenmerk WOB/2022/065.,heb ik echter van RVO vernomen dat RVO al een identiek verzoek van u in behandeling had genomen,[7840],[1977],[2072],overig,7 oktober 2022,2022-10-07
5567,c: besluit datum,148,160,28 juli 2022,93,Bijlagen Datum 28 juli 2022 1 – Relevante artikelen Woo Betreft Besluit op uw Woo-verzoek inzake de anti-witwasrichtlijn,Datum,[7845],[142],[147],besluit datum,28 juli 2022,2022-07-28
5568,c: verzoek datum,279,292,12 april 2022,93,", Met uw verzoek van 12 april 2022 heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) gevraagd om informatie openbaar te maken over artikel 1f van de Wet ter voorkoming van witwassen en financieren van terrorisme (hierna: Wwft): • hierin verzoekt u om de meest recente versie van het verslag van de geïdentificeerde, geanalyseerde en beoordeelde nationale risico’s op witwassen en het financieren van terrorisme, zoals bedoeld in art.",heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) gevraagd om informatie openbaar te maken,[7846],[293],[405],verzoek datum,12 april 2022,2022-04-12
5569,c: ontvangst verzoek bevestigd,789,802,22 april 2022,93,"De ontvangst van uw verzoek heb ik schriftelijk bevestigd bij brief van 22 april 2022, met kenmerk 2022-0000129377.",ontvangst van uw verzoek heb ik schriftelijk bevestigd bij brief,[7848],[720],[784],ontvangst verzoek bevestigd,22 april 2022,2022-04-22
5570,c: beslistermijn verdaagd,839,849,9 mei 2022,93,Op 9 mei 2022 heb ik uw verzoek met twee weken verdaagd.,heb ik uw verzoek met twee weken verdaagd,[7849],[850],[891],beslistermijn verdaagd,9 mei 2022,2022-05-09
5572,c: inwerking treden van Woo,975,985,1 mei 2022,93,Vanaf 1 mei 2022 is de Wob vervangen door de Wet open overheid (hierna: Woo).,is de Wob vervangen door de Wet open overheid (hierna: Woo),[7850],[986],[1045],inwerking treden van Woo,1 mei 2022,2022-05-01
5599,c: besluit datum,360,373,11 april 2022,102,Datum 11 april 2022,Datum,[7865],[354],[359],besluit datum,11 april 2022,2022-04-11
5601,c: verzoek datum,482,498,27 augustus 2021,102,", In uw brief van 27 augustus 2021, ontvangen op 30 augustus 2021, heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om documenten inzake laadpalen in het kader van de Wet belastingen op milieugrondslag en de Wet waardering onroerende zaken over de periode van 2011 tot heden.",heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om documenten,[7868],[531],[625],verzoek datum,27 augustus 2021,2021-08-27
5602,c: verzoek ontvangen,513,529,30 augustus 2021,102,", In uw brief van 27 augustus 2021, ontvangen op 30 augustus 2021, heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om documenten inzake laadpalen in het kader van de Wet belastingen op milieugrondslag en de Wet waardering onroerende zaken over de periode van 2011 tot heden.",ontvangen,[7867],[500],[509],verzoek ontvangen,30 augustus 2021,2021-08-30
5604,c: ontvangst verzoek bevestigd,849,865,2 september 2021,102,"De ontvangst van uw verzoek heb ik u schriftelijk bevestigd bij brief van 2 september 2021, met kenmerk 2021-0000179045.",ontvangst van uw verzoek heb ik u schriftelijk bevestigd bij brief,[7871],[778],[844],ontvangst verzoek bevestigd,2 september 2021,2021-09-02
5606,c: contact,989,1006,21 september 2012,102,Op 21 september 2012 hebben medewerkers van mijn ministerie met u gesproken over de invulling van uw verzoek.,hebben medewerkers van mijn ministerie met u gesproken over de invulling van uw verzoek,[10739],[1007],[1094],contact,21 september 2012,2012-09-21
5795,c: verzoek datum,69,81,30 juli 2020,67,Op 30 juli 2020 is een Wob-verzoek ingediend.,is een Wob-verzoek ingediend,[8346],[82],[110],verzoek datum,30 juli 2020,2020-07-30
5797,c: overig,517,529,30 juli 2020,67,Wet openbaarheid van bestuur Bij brief van 30 juli 2020 is het verzoek aangemerkt als een verzoek in gevolge de Wet openbaarheid van bestuur (hierna: Wob).,is het verzoek aangemerkt als een verzoek in gevolge de Wet openbaarheid van bestuur (hierna: Wob),[8347],[530],[628],overig,30 juli 2020,2020-07-30
5798,c: besluit datum,967,982,20 januari 2022,67,"Wijze van openbaarmaking Dit besluit zal binnen vijf werkdagen na toezending geanonimiseerd op www.rijksoverheid.nl worden geplaatst en is via de volgende link te raadplegen: http://www.rijksoverheid.nl/documenten?trefwoorden=&periode-van=&periode- tot=&onderdeel=Ministerie+van+Sociale+Zaken+en+Werkgelenheid&type=Wob-verzoek Datum: 20 januari 2022 Hoogachtend, de Minister van Sociale Zaken en Werkgelegenheid, namens deze, Mevr.",Datum,[8348],[960],[965],besluit datum,20 januari 2022,2022-01-20
5885,c: besluit datum,228,239,8 juli 2022,28,BJ Den Haag www.rijksoverheid.nl Contact minocw.nl Per e-mail verzonden aan Onze referentie Bijlagen D atum 8 juli 2022 2 B e treft Besluit op uw informatieverzoek,D atum,[7936],[221],[227],besluit datum,8 juli 2022,2022-07-08
5886,c: verzoek datum,306,319,29 maart 2022,28,"In uw verzoek van 29 maart 2022, door mij op dezelfde dag ontvangen via het webformulier op rijksoverheid.nl, heeft u het ministerie van Onderwijs, Cultuur en Wetenschap (hierna: OCW) gevraagd informatie openbaar te maken over het Nationaal Platform Levenlang Ontwikkelen (NPLO) (ook wel ikwilverderleren.nl genoemd).","heeft u het ministerie van Onderwijs, Cultuur en Wetenschap (hierna: OCW) gevraagd informatie openbaar te maken",[7937],[398],[509],verzoek datum,29 maart 2022,2022-03-29
5887,c: contact,612,625,12 april 2022,28,Op 12 april 2022 heeft er een gesprek plaatsgevonden waarbij u en uw collega aanwezig waren.,heeft er een gesprek plaatsgevonden,[7939],[626],[661],contact,12 april 2022,2022-04-12
5888,c: overig,708,721,20 april 2022,28,Op 20 april 2022 heeft u een formele ontvangstbevestiging ontvangen waarin de bovenstaande afspraken zijn bevestigd.,heeft u een formele ontvangstbevestiging ontvangen waarin de bovenstaande afspraken zijn bevestigd,[7940],[722],[820],overig,20 april 2022,2022-04-20
5890,c: contact,890,901,24 mei 2022,28,Op 24 mei 2022 heeft een Woo-jurist van OCW telefonisch contact met u opgenomen en aangegeven dat de termijn onhaalbaar is gebleken.,heeft een Woo-jurist van OCW telefonisch contact met u opgenomen en aangegeven dat de termijn onhaalbaar is gebleken,[7941],[902],[1018],contact,24 mei 2022,2022-05-24
5892,c: contact,1120,1132,21 juni 2022,28,Hierover bent u op 21 juni 2022 op de hoogte gesteld.,bent u op de hoogte gesteld,"[7942, 7943]","[1110, 1133]","[1116, 1153]",contact,21 juni 2022,2022-06-21
5893,c: inwerking treden van Woo,1178,1188,1 mei 2022,28,Wettelijk kader Per 1 mei 2022 is de Wet open overheid (hierna: Woo) in werking getreden waarmee de Wet openbaarheid van bestuur niet meer geldig is.,is de Wet open overheid (hierna: Woo) in werking getreden waarmee de Wet openbaarheid van bestuur niet meer geldig is,[7944],[1189],[1306],inwerking treden van Woo,1 mei 2022,2022-05-01
5894,c: inwerking treden van Woo,1317,1327,1 mei 2022,28,Vanaf 1 mei 2022 kan ik daarom geen Wob-besluiten meer nieten.,kan ik daarom geen Wob-besluiten meer nieten,[8283],[1328],[1372],inwerking treden van Woo,1 mei 2022,2022-05-01
6113,c: besluit datum,115,128,14 maart 2022,110,Datum 14 maart 2022,Datum,[8006],[109],[114],besluit datum,14 maart 2022,2022-03-14
6114,c: verzoek datum,195,211,17 februari 2022,110,", Via het contactformulier op www.rijksoverheid.nl heeft u op 17 februari 2022 verzocht om informatie over de totstandkoming van de Wet inkomstenbelasting 2001.",verzocht om informatie,[8007],[212],[234],verzoek datum,17 februari 2022,2022-02-17
6116,c: ontvangst verzoek bevestigd,371,383,3 maart 2022,110,"De ontvangst van uw verzoek heb ik u schriftelijk bevestigd bij brief van 3 maart 2022, met kenmerk 2022-0000062729.",ontvangst van uw verzoek heb ik u schriftelijk bevestigd bij brief,[8009],[300],[366],ontvangst verzoek bevestigd,3 maart 2022,2022-03-03
6120,c: besluit datum,297,314,20 september 2022,32,"Zaken Rijnstraat 50 Krijn Taconiskade 278 Den Haag 1087 HW AMSTERDAM Postbus 16375 2500 BJ Den Haag www.rijksoverheid.nl Per e-mail verstuurd: Contact Dienstpostbus Woo Dienstpostbus.Woo@minocw.nl Onze referentie 34010651 (2022-076) Bijlagen Datum 20 september 2022 1 – Relevante wetsartikelen Betreft Besluit op uw Woo-verzoek Bezwaar Als u belang hebt bij dit besluit, dan kunt u hiertegen binnen 6 weken, gerekend vanaf de verzenddatum, bezwaar maken.",Datum,[8012],[291],[296],besluit datum,20 september 2022,2022-09-20
6121,c: verzoek datum,525,541,5 september 2022,32,"In uw verzoek van 5 september 2022, ontvangen per e-mail op dezelfde datum, heeft u het ministerie van Onderwijs, Cultuur en Wetenschap verzocht om een specifieke beschikking openbaar te maken.","heeft u het ministerie van Onderwijs, Cultuur en Wetenschap verzocht om een specifieke beschikking openbaar te maken",[8013],[582],[699],verzoek datum,5 september 2022,2022-09-05
6159,c: verzoek datum,96,112,24 augustus 2021,76,Op 24 augustus 2021 is een verzoek ingediend om openbaarmaking van geanonimiseerde getuigenverklaringen inzake dossier 2007885.,is een verzoek ingediend om openbaarmaking,[8287],[113],[155],verzoek datum,24 augustus 2021,2021-08-24
6160,c: overig,267,283,30 augustus 2021,76,Wet openbaarheid van bestuur Bij brief van 30 augustus 2021 is het verzoek aangemerkt als een verzoek in gevolge de Wet openbaarheid van bestuur (hierna: Wob).,is het verzoek aangemerkt als een verzoek in gevolge de Wet openbaarheid van bestuur (hierna: Wob),[8288],[284],[382],overig,30 augustus 2021,2021-08-30
6161,c: besluit datum,394,407,13 april 2022,76,"Datum: 13 april 2022 Hoogachtend,de Minister van Sociale Zaken en Werkgelegenheid, namens deze, Dit is een beschikking in de zin van artikel 1:3, tweede lid, van de Awb.",Datum,[8289],[387],[392],besluit datum,13 april 2022,2022-04-13
6197,c: besluit datum,109,121,4 april 2022,107,Per e-mail: 17 januari 2021 Datum 4 april 2022,Datum,[8050],[103],[108],besluit datum,4 april 2022,2022-04-04
6198,c: verzoek datum,144,159,17 januari 2021,107,", In uw email van 17 januari 2021 heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om informatie over de Regeling Overdrachtsbelasting, verruiming termijn bij doorverkoop.",heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om informatie,[8290],[160],[254],verzoek datum,17 januari 2021,2021-01-17
6200,c: ontvangst verzoek bevestigd,722,737,21 januari 2021,107," Wat zijn de achtergronden/redenen geweest voor de totstandkoming van de regeling Overdrachtsbelasting, verruiming termijn bij doorverkoop.” De ontvangst van uw verzoek heb ik u schriftelijk bevestigd bij brief van 21 januari 2021, met kenmerk 2021-0000011999.",ontvangst van uw verzoek heb ik u schriftelijk bevestigd bij brief,[8052],[651],[717],ontvangst verzoek bevestigd,21 januari 2021,2021-01-21
6203,c: besluit datum,137,150,25 maart 2022,114,Datum 25 maart 2022,Datum,[8057],[131],[136],besluit datum,25 maart 2022,2022-03-25
6204,c: verzoek datum,173,188,1 augustus 2021,114,", In uw email van 1 augustus 2021 heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om informatie over AI- toepassingen door de Douane.",heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om informatie,[8058],[189],[283],verzoek datum,1 augustus 2021,2021-08-01
6205,c: ontvangst verzoek bevestigd,388,404,10 augustus 2021,114,"De ontvangst van uw verzoek heb ik u schriftelijk bevestigd op 10 augustus 2021, met kenmerk 2021-0000164560.",ontvangst van uw verzoek heb ik u schriftelijk bevestigd,[8059],[328],[384],ontvangst verzoek bevestigd,10 augustus 2021,2021-08-10
6207,c: contact,529,542,augustus 2021,114,In augustus 2021 heeft u met de woordvoerder van Douane telefonisch gesproken over de inhoud van uw Wob-verzoek en is aangeboden u een presentatie te geven omtrent AI.,heeft u met de woordvoerder van Douane telefonisch gesproken over de inhoud van uw Wob-verzoek en is aangeboden u een presentatie te geven omtrent AI,[10734],[543],[692],contact,15 augustus 2021,2021-08-15
6208,c: contact,700,715,2 november 2021,114,Op 2 november 2021 heeft u met een woordvoerder telefonisch gesproken over de voortgang van uw Wob-verzoek.,heeft u met een woordvoerder telefonisch gesproken over de voortgang van uw Wob-verzoek,[10735],[716],[803],contact,2 november 2021,2021-11-02
6209,c: overig,811,827,30 november 2021,114,Op 30 november 2021 heeft u wegens het niet tijdig Directie Juridische Zaken beslissen een ingebrekestelling ingediend.,heeft u wegens het niet tijdig Directie Juridische Zaken beslissen een ingebrekestelling ingediend,[8062],[828],[926],overig,30 november 2021,2021-11-30
6210,c: overig,975,990,1 december 2021,114,De ontvangst van uw ingebrekestelling is op 1 december 2021 bevestigd.,ontvangst van uw ingebrekestelling is bevestigd,"[8063, 8064]","[934, 991]","[971, 1000]",overig,1 december 2021,2021-12-01
6246,c: besluit datum,188,203,12 oktober 2022,78,Onze referentie Datum 12 oktober 2022 Wob/2022/039,Datum,[8078],[182],[187],besluit datum,12 oktober 2022,2022-10-12
6247,c: verzoek ontvangen,235,251,25 februari 2022,78,"5.1,2,E 2 Op 25 februari 2022 heb ik uw gegevensverzoek ontvangen waarin u vraagt om openbaarmaking van informatie.",heb ik uw gegevensverzoek ontvangen waarin u vraagt om openbaarmaking van informatie,[8080],[252],[336],verzoek ontvangen,25 februari 2022,2022-02-25
6250,c: ontvangst verzoek bevestigd,693,709,25 februari 2022,78,ProcedureDe ontvangst van uw verzoek is digitaal bevestigd op 25 februari 2022.,ontvangst van uw verzoek is digitaal bevestigd,[8081],[643],[689],ontvangst verzoek bevestigd,25 februari 2022,2022-02-25
6251,c: inwerking treden van Woo,733,743,1 mei 2022,78,Wettelijk kader Op 1 mei 2022 is de Wet openbaarheid van bestuur (hierna te noemen Wob) ingetrokken en vervangen door de Wet open overheid (hierna te noemen Woo).,is de Wet openbaarheid van bestuur (hierna te noemen Wob) ingetrokken en vervangen door de Wet open overheid (hierna te noemen Woo),[8083],[744],[875],inwerking treden van Woo,1 mei 2022,2022-05-01
6255,c: besluit datum,103,115,5 april 2022,11,Datum: 5 april 2022,Datum,[8087],[96],[101],besluit datum,5 april 2022,2022-04-05
6256,c: verzoek datum,182,198,20 november 2020,11,"heer/mevrouw Bij e-mail van 20 november 2020 heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om van informatie naar aanleiding van de, in 2019, afgeschoten edelherten in Oostvaardersplassen, waarbij er ongeveer 1250 edelherten voor menselijke consumptie zijn aangeboden door een onderneming.",heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om van informatie,[8088],[199],[297],verzoek datum,20 november 2020,2020-11-20
6259,c: ontvangst verzoek bevestigd,538,554,23 november 2020,11,De ontvangst van uw verzoek is bevestigd bij e-mail van 23 november 2020 met kenmerk 20-0875.,ontvangst van uw verzoek is bevestigd bij e-mail,[8089],[485],[533],ontvangst verzoek bevestigd,23 november 2020,2020-11-23
6261,c: beslistermijn verdaagd,593,609,14 december 2020,11,Bij brief van 14 december 2020 is de beslistermijn met vier weken verdaagd.,is de beslistermijn met vier weken verdaagd,[8091],[610],[653],beslistermijn verdaagd,14 december 2020,2020-12-14
6263,c: besluit datum,119,136,14 september 2022,8,Datum 14 september 2022,Datum,[8319],[113],[118],besluit datum,14 september 2022,2022-09-14
6264,c: verzoek datum,168,183,3 augustus 2022,8,"Geachte , In uw e-mail van 3 augustus 2022 heeft u mijn ministerie verzocht om een extra zoekslag te verrichten en aanvullende documenten te verstrekken die per abuis zouden ontbreken bij de afhandeling van uw eerdere verzoek (2022-018).",heeft u mijn ministerie verzocht om een extra zoekslag te verrichten en aanvullende documenten te verstrekken,[8320],[184],[293],verzoek datum,3 augustus 2022,2022-08-03
6265,c: overig,399,415,18 augustus 2022,8,Uw verzoek is op 18 augustus 2022 in behandeling genomen.,verzoek is in behandeling genomen,"[8321, 8322]","[385, 416]","[395, 438]",overig,18 augustus 2022,2022-08-18
6266,c: contact,446,463,12 september 2022,8,Op 12 september 2022 is u bericht dat uw 11 vragen in ieder geval 2 documenten hebben opgeleverd die nog niet zijn beoordeeld.,is u bericht dat uw 11 vragen in ieder geval 2 documenten hebben opgeleverd die nog niet zijn beoordeeld,[10733],[464],[568],contact,12 september 2022,2022-09-12
8096,c: besluit datum,171,183,20 juni 2022,37,Den Haag 2500 EX Contactpersoon Woo-verzoeken-artikel4.1@minienw.nl Datum 20 juni 2022 Kenmerk,Datum,[8095],[165],[170],besluit datum,20 juni 2022,2022-06-20
6270,c: verzoek datum,216,227,27 mei 2022,37,Met uw verzoek van 27 mei 2022 heeft u mij gevraagd om documenten openbaar te maken inzake de totstandkoming van de geluidsnorm voor windturbines.,heeft u mij gevraagd om documenten openbaar te maken,[8098],[228],[280],verzoek datum,27 mei 2022,2022-05-27
6271,c: ontvangst verzoek bevestigd,432,443,27 mei 2022,37,Verloop procedure De ontvangst van uw verzoek is schriftelijk bevestigd per brief op 27 mei 2022 met het kenmerk 2022-38.,ontvangst van uw verzoek is schriftelijk bevestigd per brief,[8099],[368],[428],ontvangst verzoek bevestigd,27 mei 2022,2022-05-27
6272,c: contact,499,511,10 juni 2022,37,Over uw verzoek heeft u op 10 juni 2022 een digitaal overleg gehad met twee medewerkers van het Ministerie van Infrastructuur en Waterstaat.,digitaal overleg gehad met twee medewerkers van het Ministerie van Infrastructuur en Waterstaat,[10732],[516],[611],contact,10 juni 2022,2022-06-10
6538,c: besluit datum,190,203,10 maart 2022,22,"Waterkwaliteit, Ondergrond en Marien Postbus 20901 Den Haag 2500 EX Contactpersoon wob-loket@minienw.nl Ons kenmerk IENW/BSK-2022/18711 Datum 10 maart 2022 Betreft Wob-verzoek 2021-56 Geachte , In uw e-mail van 21 september 2021 heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om documenten met betrekking tot de collectieve zuivering afvalwater gewasbeschermingsmiddelen afvalwaterzuiveringsinstallatie Nieuwe Waterweg in de gemeente Westland.",Datum,[8150],[184],[189],besluit datum,10 maart 2022,2022-03-10
