id,label,start,end,text,doc_id,event,event_ids,start_event,end_event
5014,c: overig,601,613,16 juni 2022,271,heeft u mij in gebreke gesteld nu u nog geen besluit heeft ontvangen en de beslistermijn is verstreken,[5298],[614],[716]
5015,c: inwerking treden van Woo,727,737,1 mei 2022,271,is de Wob vervangen door de Woo,[5299],[738],[769]
5016,c: inwerking treden van Woo,830,835,1 mei,271,Woo geldt,[5300],[839],[848]
5028,c: besluit datum,126,137,13 mei 2022,267,D atum,[5304],[119],[125]
5029,c: verzoek datum,241,256,1 februari 2022,267,"heeft u, met een beroep op de Wet openbaarheid van bestuur (hierna: Wob), verzocht om informatie",[5305],[257],[353]
5034,c: ontvangst verzoek bevestigd,813,828,2 februari 2022,267,ontvangst van uw verzoek is schriftelijk bevestigd bij brief,[8265],[748],[808]
5035,c: inwerking treden van Woo,852,862,1 mei 2022,267,is de Wob ingetrokken en vervangen door de Wet open overheid (Woo),[5309],[863],[929]
5310,c: besluit datum,220,233,29 april 2022,74,Datum Betreft: Beslissing Wob-verzoek,[7799],[182],[219]
5311,c: verzoek ontvangen,262,279,15 september 2021,74,ontving ik uw verzoek om informatie,[7761],[280],[315]
5312,c: verzoek datum,448,465,15 september 2021,74,verzoekt u op grond van de Wob om de volgende informatie,[7762],[466],[522]
5458,c: verzoek datum,137,153,30 november 2021,117,heeft u bij mijn ministerie een verzoek ingediend,[7766],[205],[254]
5459,c: verzoek ontvangen,188,203,3 december 2021,117,ontvangen,[7765],[175],[184]
5462,c: ontvangst verzoek bevestigd,917,932,24 januari 2022,117,heb ik de ontvangst van uw verzoek aan u bevestigd,[7767],[933],[983]
5463,c: contact,991,1006,26 januari 2022,117,is er contact met u opgenomen omtrent uw Wob-verzoek,[7768],[1007],[1059]
5464,c: contact,1078,1093,26 januari 2022,117,is het contact en de afspraak bevestigd,[7769],[1094],[1133]
5468,c: verzoek datum,244,260,14 december 2021,2,"heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht, namens , om informatie",[7774],[261],[365]
5471,c: ontvangst verzoek bevestigd,709,725,27 december 2021,2,ontvangst van uw verzoek is schriftelijk bevestigd,[7776],[644],[694]
7772,c: besluit datum,142,154,1 april 2022,2,Datum,[7773],[136],[141]
5497,c: besluit datum,129,146,22 september 2022,81,Datum,[7780],[123],[128]
5498,c: verzoek datum,169,185,12 augustus 2022,81,"heeft u, namens uw cliënt, met een beroep op de Wet open overheid (hierna: Woo) verzocht",[7782],[186],[274]
5499,c: ontvangst verzoek bevestigd,695,711,17 augustus 2022,81,ontvangst van uw verzoek is schriftelijk bevestigd,[7783],[630],[680]
5512,c: besluit datum,98,111,11 april 2022,101,Datum,[7790],[92],[97]
5513,c: verzoek datum,121,136,16 januari 2022,101,heeft u een Wob-verzoek per e-mail ingediend,[7791],[137],[181]
5514,c: overig,343,353,april 2021,101,rapport is door ABD Topconsult uitgebracht,[7792],[297],[339]
5515,c: overig,361,368,2 maart,101,is dit verzoek vanuit het Ministerie van LNV doorgestuurd naar mijn ministerie,[7794],[369],[447]
5516,c: ontvangst verzoek bevestigd,615,627,3 maart 2022,101,ontvangst van uw verzoek heb ik u schriftelijk bevestigd,[7795],[544],[600]
5517,c: besluit datum,156,167,31 MEI 2022,65,,[],[],[]
5518,c: verzoek datum,189,204,9 december 2021,65,heeft u een Wob-verzoek ingediend,[7803],[205],[238]
5521,c: inwerking treden van Woo,844,854,1 mei 2022,65,is de Wob vervangen door de Wet open overheid (hierna: Woo),[7806],[855],[914]
5522,c: inwerking treden van Woo,975,980,1 mei,65,Woo geldt,[7807],[984],[993]
5523,c: verzoek datum,1023,1038,9 december 2021,65,U heeft uw Wob-verzoek ingediend,"[7808, 7809]","[1012, 1039]","[1019, 1063]"
5524,c: ontvangst verzoek bevestigd,1082,1098,10 december 2021,65,is uw verzoek voor ontvangst bevestigd,[7810],[1099],[1137]
5525,c: overig,1171,1184,12 april 2022,65,eerste deelbesluit is genomen,"[7811, 7812]","[1146, 1185]","[1167, 1192]"
5526,c: besluit datum,267,279,5 april 2022,50,Datum,[7816],[260],[265]
5527,c: verzoek datum,314,326,26 juli 2021,50,heeft u per e-mail een Wob-verzoek ingediend,[7817],[326],[371]
5528,c: ontvangst verzoek bevestigd,432,444,27 juli 2021,50,ontvangst van uw verzoek is bevestigd,[7818],[379],[416]
5529,c: contact,496,512,24 februari 2022,50,heb ik u geïnformeerd dat ik de aangetroffen documenten aan de derde-belanghebbende opgestuurd heb voor zienswijze,[7819],[513],[627]
5531,c: besluit datum,55,67,26 juli 2022,57,Datum,[7823],[48],[53]
5533,c: verzoek datum,133,148,1 februari 2022,57,verzocht u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob),[7824],[180],[254]
5534,c: verzoek ontvangen,163,178,1 februari 2022,57,ontvangen,[7826],[150],[159]
5538,c: ontvangst verzoek bevestigd,712,727,1 februari 2022,57,,[],[],[]
5539,c: beslistermijn verdaagd,768,784,28 februari 2022,57,is de beslistermijn met vier weken verdaagd,[7828],[785],[828]
5540,c: inwerking treden van Woo,836,846,1 mei 2022,57,is de Wet open overheid (hierna: Woo) inwerking getreden en is de Wob ingetrokken,[7829],[847],[928]
5545,c: contact,1484,1497,29 maart 2022,57,bent u geïnformeerd dat er derde belanghebbenden bij de openbaarmaking van de documenten zijn betrokken en dat deze in de gelegenheid zijn gesteld hierover een zienswijze te geven,[7830],[1498],[1677]
5550,c: besluit datum,378,393,11 oktober 2022,59,Datum: verzonden op,[7833],[358],[377]
5551,c: verzoek datum,465,478,29 maart 2022,59,heeft u de Nederlandse Voedsel- en Warenautoriteit (hierna: NVWA) gevraagd om informatie openbaar te maken,[7835],[517],[623]
5552,c: verzoek ontvangen,492,505,31 maart 2022,59,ontvangen,[7834],[506],[515]
5555,c: ontvangst verzoek bevestigd,1185,1198,31 maart 2022,59,heeft u per aangetekende brief bericht ontvangen dat uw verzoek in goede orde is ontvangen,[7836],[1199],[1289]
5556,c: overig,1297,1309,22 juni 2022,59,heb ik uw ingebrekestelling van 21 juni 2022 ontvangen,[7837],[1310],[1364]
5559,c: overig,1444,1455,8 juli 2022,59,heb ik een kopie van uw beroepschrift ontvangen,[7841],[1456],[1503]
5560,c: overig,1511,1525,4 oktober 2022,59,heb ik van de Rechtbank Overijssel de uitspraak op het bovengenoemd beroep ontvangen,[7838],[1526],[1610]
5562,c: contact,1814,1828,7 oktober 2022,59,heb ik uw verzoek voor wat betreft de onderdelen 1 en 2 doorgestuurd aan RVO en u daarover per brief geïnformeerd,[7839],[1828],[1942]
5563,c: overig,1962,1976,7 oktober 2022,59,heb ik echter van RVO vernomen dat RVO al een identiek verzoek van u in behandeling had genomen,[7840],[1977],[2072]
5567,c: besluit datum,148,160,28 juli 2022,93,Datum,[7845],[142],[147]
5568,c: verzoek datum,279,292,12 april 2022,93,heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) gevraagd om informatie openbaar te maken,[7846],[293],[405]
5569,c: ontvangst verzoek bevestigd,789,802,22 april 2022,93,ontvangst van uw verzoek heb ik schriftelijk bevestigd bij brief,[7848],[720],[784]
5570,c: beslistermijn verdaagd,839,849,9 mei 2022,93,heb ik uw verzoek met twee weken verdaagd,[7849],[850],[891]
5572,c: inwerking treden van Woo,975,985,1 mei 2022,93,is de Wob vervangen door de Wet open overheid (hierna: Woo),[7850],[986],[1045]
5576,c: besluit datum,186,198,13 juli 2022,122,Datum,[7854],[180],[185]
5579,c: verzoek datum,300,310,6 mei 2022,122,heeft u bij mijn ministerie een verzoek ingediend,[7855],[311],[360]
5582,c: ontvangst verzoek bevestigd,597,607,6 mei 2022,122,ontvangst van uw verzoek is per e-mail aan u bevestigd,"[7857, 7858]","[554, 608]","[592, 623]"
5583,c: beslistermijn verdaagd,631,642,3 juni 2022,122,is per e-mail de behandeling van uw Woo-verzoek verdaagd,[7859],[643],[699]
5599,c: besluit datum,360,373,11 april 2022,102,Datum,[7865],[354],[359]
5601,c: verzoek datum,482,498,27 augustus 2021,102,heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om documenten,[7868],[531],[625]
5602,c: verzoek ontvangen,513,529,30 augustus 2021,102,ontvangen,[7867],[500],[509]
5604,c: ontvangst verzoek bevestigd,849,865,2 september 2021,102,ontvangst van uw verzoek heb ik u schriftelijk bevestigd bij brief,[7871],[778],[844]
5606,c: contact,989,1006,21 september 2012,102,hebben medewerkers van mijn ministerie met u gesproken over de invulling van uw verzoek,[7872],[1007],[1094]
5763,c: besluit datum,118,129,18 mei 2022,105,Datum,[7877],[112],[117]
5764,c: verzoek datum,152,167,31 januari 2022,105,heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht,[7878],[199],[279]
5765,c: ontvangst verzoek bevestigd,510,525,9 februari 2022,105,ontvangst van uw verzoek heb ik u schriftelijk bevestigd bij brief,[7879],[439],[505]
5766,c: contact,571,584,10 maart 2022,105,uitgenodigd voor een gesprek over de behandeling van uw Wob-verzoek,[7880],[585],[652]
5767,c: inwerking treden van Woo,663,673,1 mei 2022,105,is de Wob vervangen door de Wet open overheid (hierna: Woo),[7881],[674],[733]
5768,c: inwerking treden van Woo,794,799,1 mei,105,Woo geldt,[7882],[803],[812]
5773,c: besluit datum,111,128,23 september 2022,34,Datum,[7885],[105],[110]
5774,c: verzoek datum,151,167,9 september 2022,34,heeft u OCW gevraagd informatie openbaar to maken,[7886],[207],[256]
5777,c: contact,575,592,13 september 2022,34,telefonisch contact geweest ter bevestiging,[7887],[593],[636]
5778,c: contact,679,696,14 september 2022,34,is ook aan u aanvullende informatie verschaft,[7888],[697],[742]
5782,c: besluit datum,113,126,20 april 2022,87,Datum,[7891],[107],[112]
5783,c: verzoek datum,153,167,7 oktober 2021,87,heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) informatie verzoch,[7893],[199],[289]
5784,c: verzoek ontvangen,182,197,22 oktober 2021,87,ontvangen,[7892],[169],[178]
5787,c: ontvangst verzoek bevestigd,524,539,22 oktober 2021,87,ontvangst van uw verzoek is per e-mail bevestigd,"[7895, 7896]","[493, 540]","[520, 560]"
5788,c: beslistermijn verdaagd,588,604,19 november 2021,87,beslistermijn is met vier weken verdaagd,"[7897, 7898]","[568, 605]","[584, 628]"
5789,c: contact,652,668,19 november 2021,87,bent u per e-mail geïnformeerd,"[7899, 7900]","[642, 669]","[648, 692]"
5790,c: overig,700,714,3 januari 2022,87,heeft u mij in gebreke gesteld,[7901],[715],[745]
5791,c: overig,753,768,17 januari 2022,87,heeft u bij de rechtbank Midden-Nederland een beroep niet tijdig beslissen ingesteld,[7902],[769],[853]
5793,c: overig,1038,1050,3 maart 2022,87,zijn belanghebbenden in de gelegenheid gesteld om hun zienswijze naar voren te brengen,[7903],[1051],[1137]
7904,c: overig,1145,1163,9 en 10 maart 2022,87,hebben de belanghebbenden hun zienswijze naar voren gebracht,[7905],[1164],[1224]
5850,c: besluit datum,155,170,28 januari 2022,45,Datum: Uitsluitend verstuurd per mail op,[7918],[114],[154]
5851,c: verzoek datum,242,254,4 maart 2021,45,heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) informatie verzocht,[7920],[283],[375]
5852,c: verzoek ontvangen,269,281,5 maart 2021,45,ontvangen,[7919],[256],[265]
5856,c: ontvangst verzoek bevestigd,676,688,8 maart 2021,45,ontvangst van uw verzoek is schriftelijk bevestigd bij brief,[7922],[611],[671]
5857,c: beslistermijn verdaagd,726,739,29 maart 2021,45,is de beslistermijn met vier weken verdaagd,[7923],[740],[783]
5885,c: besluit datum,228,239,8 juli 2022,28,D atum,[7936],[221],[227]
5886,c: verzoek datum,306,319,29 maart 2022,28,"heeft u het ministerie van Onderwijs, Cultuur en Wetenschap (hierna: OCW) gevraagd informatie openbaar te maken",[7937],[398],[509]
5887,c: contact,612,625,12 april 2022,28,heeft er een gesprek plaatsgevonden,[7939],[626],[661]
5888,c: overig,708,721,20 april 2022,28,heeft u een formele ontvangstbevestiging ontvangen waarin de bovenstaande afspraken zijn bevestigd,[7940],[722],[820]
5890,c: contact,890,901,24 mei 2022,28,heeft een Woo-jurist van OCW telefonisch contact met u opgenomen en aangegeven dat de termijn onhaalbaar is gebleken,[7941],[902],[1018]
5892,c: overig,1120,1132,21 juni 2022,28,bent u op de hoogte gesteld,"[7942, 7943]","[1110, 1133]","[1116, 1153]"
5893,c: inwerking treden van Woo,1178,1188,1 mei 2022,28,is de Wet open overheid (hierna: Woo) in werking getreden waarmee de Wet openbaarheid van bestuur niet meer geldig is,[7944],[1189],[1306]
5895,c: verzoek ontvangen,141,156,22 oktober 2021,95,"heb ik uw verzoek zoals bedoeld in artikel 3, eerste lid, van de Wet openbaarheid van bestuur (hierna: Wob) ontvangen",[7947],[157],[274]
5898,c: ontvangst verzoek bevestigd,706,721,27 oktober 2021,95,,[],[],[]
5899,c: contact,769,783,7 januari 2022,95,heb ik aan u medegedeeld dat enkele stukken op uw verzoek betrekking hebbende documenten gegevens bevatten die van derde(n) afkomstig zijn/die betrekking hebben op derde(n),[7949],[813],[985]
5900,c: contact,1047,1061,7 januari 2022,95,derde-belanghebbende(n) zijn bij brief geïnformeerd over de documenten die naar mijn oordeel in eerste instantie tot te openbaren documenten behoorden,"[7951, 7953]","[1004, 1062]","[1042, 1173]"
6008,c: besluit datum,251,263,22 juni 2022,113,Datum,[7956],[245],[250]
6009,c: verzoek datum,288,301,29 maart 2022,113,heeft u de Rijksdienst voor Ondernemend Nederland (hierna: RVO.nl) gevraagd om informatie openbaar te maken,[7957],[302],[409]
6013,c: inwerking treden van Woo,922,932,1 mei 2022,113,is de Wob ingetrokken en vervangen door de Wet open overheid (Woo),[7958],[933],[999]
6016,c: besluit datum,115,128,24 maart 2022,6,Datum,[7961],[109],[114]
6018,c: verzoek datum,328,343,27 oktober 2021,6,heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) informatie verzocht,[7963],[375],[466]
6019,c: verzoek ontvangen,358,373,28 oktober 2021,6,ontvangen,[7962],[345],[354]
6022,c: ontvangst verzoek bevestigd,738,754,15 november 2021,6,ontvangst van uw verzoek is bevestigd bij brief,[7965],[686],[733]
7966,c: contact,888,912,donderdag 25 november jl,6,gesproken met de heer Hans Hindriks van het ministerie van Economische Zaken en Klimaat (hierna: ministerie van EZK) over de reikwijdte van uw verzoek en de voortgang van de afhandeling,[7967],[915],[1100]
7970,c: contact,1146,1160,10 december jl,6,afspraak is bevestigd per e-mail,[7968],[1110],[1142]
7971,c: contact,1544,1578,17 december jl en op 25 januari jl,6,heeft u met de heer Hindriks gesproken over de voortgang van de afhandeling van uw verzoek,[7972],[1579],[1669]
7974,c: contact,1689,1723,18 januari jl en op 14 februari jl,6,per e-mail een update over de voortgang ontvangen,[7973],[1724],[1773]
6063,c: verzoek datum,173,184,27 mei 2022,94,op grond van de Wet open overheid (hierna: Woo) verzocht om openbaarmaking van alle informatie,[7977],[185],[279]
6065,c: ontvangst verzoek bevestigd,505,516,30 mei 2022,94,heeft u bericht ontvangen dat uw verzoek in goede orde is ontvangen,[7978],[517],[584]
6068,c: beslistermijn verdaagd,707,719,23 juni 2022,94,is de beslistermijn met twee weken verdaagd,[7981],[720],[763]
6070,c: beslistermijn verdaagd,821,832,6 juli 2022,94,de beslistermijn opgeschort,[7983],[888],[915]
7979,c: contact,632,660,17 juni 2022 en 22 juni 2022,94,telefonisch contact geweest,[7980],[661],[688]
6074,c: besluit datum,164,179,9 februari 2022,18,Datum,[7987],[157],[162]
6075,c: verzoek datum,285,301,22 november 2021,18,heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) om informatie verzocht,[7988],[302],[396]
6076,c: ontvangst verzoek bevestigd,551,566,1 december 2021,18,ontvangst van uw verzoek heb ik met mijn brief bevestigd,"[7989, 7990]","[500, 567]","[546, 576]"
6078,c: beslistermijn verdaagd,683,698,11 januari 2022,18,heb ik u medegedeeld dat de beslistermijn is opgeschort,[7992],[699],[754]
6105,c: besluit datum,174,191,28 september 2022,63,Datum,[7999],[168],[173]
6106,c: verzoek ontvangen,200,213,14 april 2022,63,ontving ik uw verzoek om op grond van de Wet openbaarheid bestuur (hierna: Wob) informatie openbaar to maken,[8000],[214],[322]
6107,c: inwerking treden van Woo,348,358,1 mei 2022,63,is de Wob vervangen door de Wet open overheid (hierna: Woo),[8001],[359],[418]
6113,c: besluit datum,115,128,14 maart 2022,110,Datum,[8006],[109],[114]
6114,c: verzoek datum,195,211,17 februari 2022,110,verzocht om informatie,[8007],[212],[234]
6116,c: ontvangst verzoek bevestigd,371,383,3 maart 2022,110,ontvangst van uw verzoek heb ik u schriftelijk bevestigd bij brief,[8009],[300],[366]
6120,c: besluit datum,297,314,20 september 2022,32,Datum,[8012],[291],[296]
6121,c: verzoek datum,525,541,5 september 2022,32,"heeft u het ministerie van Onderwijs, Cultuur en Wetenschap verzocht om een specifieke beschikking openbaar te maken",[8013],[582],[699]
6127,c: verzoek ontvangen,447,464,21 september 2021,111,heb ik uw verzoek ontvangen,[8018],[465],[492]
6128,c: ontvangst verzoek bevestigd,669,683,5 oktober 2021,111,ontvangst van uw verzoek is schriftelijk bevestigd,[8019],[604],[654]
6129,c: contact,731,747,19 november 2021,111,heb ik aan u medegedeeld dat de stukken die op uw verzoek betrekking hebben gegevens bevatten die zien op derden,[8020],[778],[890]
6174,c: verzoek datum,348,361,21 april 2022,55,heeft u bij het Ministerie van Infrastructuur en Waterstaat een informatieverzoek ingediend,[8032],[362],[453]
6175,c: ontvangst verzoek bevestigd,563,576,26 april 2022,55,ontvangst van uw verzoek is door de ILT schriftelijk bevestigd bij brief,[8033],[486],[558]
6177,c: beslistermijn verdaagd,631,642,11 mei 2022,55,heb ik u laten weten dat de wettelijke termijn om te beslissen op uw informatieverzoek is verdaagd met twee weken,[8034],[643],[756]
6178,c: inwerking treden van Woo,764,774,1 mei 2022,55,is de Wet open overheid in werking getreden,[8035],[775],[818]
6188,c: besluit datum,112,128,25 augustus 2022,84,Datum,[8042],[106],[111]
6189,c: verzoek datum,165,181,28 december 2021,84,heeft u een verzoek om openbaarmaking van informatie ingediend op grond van de Wet openbaarheid van bestuur (hierna: Wob),[8044],[182],[303]
6190,c: inwerking treden van Woo,312,322,1 mei 2022,84,"is de Wet open overheid (hierna: Woo) in werking getreden, ter vervanging van de Wob",[8045],[323],[407]
6191,c: ontvangst verzoek bevestigd,426,441,12 januari 2022,84,heb ik de ontvangst van uw verzoek bevestigd,[8046],[442],[486]
6197,c: besluit datum,109,121,4 april 2022,107,Datum,[8050],[103],[108]
6198,c: verzoek datum,144,159,17 januari 2021,107,heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht,[8051],[160],[240]
6200,c: ontvangst verzoek bevestigd,722,737,21 januari 2021,107,ontvangst van uw verzoek heb ik u schriftelijk bevestigd bij brief,[8052],[651],[717]
6203,c: besluit datum,137,150,25 maart 2022,114,Datum,[8057],[131],[136]
6204,c: verzoek datum,173,188,1 augustus 2021,114,heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om informatie,[8058],[189],[283]
6205,c: ontvangst verzoek bevestigd,388,404,10 augustus 2021,114,ontvangst van uw verzoek heb ik u schriftelijk bevestigd,[8059],[328],[384]
6207,c: contact,529,542,augustus 2021,114,heeft u met de woordvoerder van Douane telefonisch gesproken over de inhoud van uw Wob-verzoek en is aangeboden u een presentatie te geven omtrent AI,[8060],[543],[692]
6208,c: contact,700,715,2 november 2021,114,heeft u met een woordvoerder telefonisch gesproken over de voortgang van uw Wob-verzoek,[8061],[716],[803]
6209,c: overig,811,827,30 november 2021,114,heeft u wegens het niet tijdig Directie Juridische Zaken beslissen een ingebrekestelling ingediend,[8062],[828],[926]
6210,c: overig,975,990,1 december 2021,114,ontvangst van uw ingebrekestelling is bevestigd,"[8063, 8064]","[934, 991]","[971, 1000]"
6219,c: besluit datum,352,365,22 april 2022,109,Datum,[8069],[346],[351]
6221,c: verzoek datum,548,563,26 januari 2022,109,heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) om informatie verzocht,[8070],[565],[659]
6222,c: ontvangst verzoek bevestigd,815,831,21 februari 2022,109,ontvangst van uw verzoek is schriftelijk bevestigd bij brief,[8071],[750],[810]
8072,c: contact,953,964,29 maart jl,109,"heeft een medewerker van mijn ministerie, 10.2.e , u gemaild over de voortgang van uw WOB verzoek",[8073],[965],[1062]
6246,c: besluit datum,188,203,12 oktober 2022,78,Datum,[8078],[182],[187]
6247,c: verzoek ontvangen,235,251,25 februari 2022,78,heb ik uw gegevensverzoek ontvangen waarin u vraagt om openbaarmaking van informatie,[8080],[252],[336]
6250,c: ontvangst verzoek bevestigd,693,709,25 februari 2022,78,ontvangst van uw verzoek is digitaal bevestigd,[8081],[643],[689]
6251,c: inwerking treden van Woo,733,743,1 mei 2022,78,is de Wet openbaarheid van bestuur (hierna te noemen Wob) ingetrokken en vervangen door de Wet open overheid (hierna te noemen Woo),[8083],[744],[875]
6255,c: besluit datum,103,115,5 april 2022,11,Datum,[8087],[96],[101]
6256,c: verzoek datum,182,198,20 november 2020,11,heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om van informatie,[8088],[199],[297]
6259,c: ontvangst verzoek bevestigd,538,554,23 november 2020,11,ontvangst van uw verzoek is bevestigd bij e-mail,[8089],[485],[533]
6261,c: beslistermijn verdaagd,593,609,14 december 2020,11,is de beslistermijn met vier weken verdaagd,[8091],[610],[653]
6270,c: verzoek datum,216,227,27 mei 2022,37,heeft u mij gevraagd om documenten openbaar te maken,[8098],[228],[280]
6271,c: ontvangst verzoek bevestigd,432,443,27 mei 2022,37,ontvangst van uw verzoek is schriftelijk bevestigd per brief,[8099],[368],[428]
6272,c: contact,499,511,10 juni 2022,37,digitaal overleg gehad met twee medewerkers van het Ministerie van Infrastructuur en Waterstaat,[8101],[516],[611]
8096,c: besluit datum,171,183,20 juni 2022,37,Datum,[8095],[165],[170]
6275,c: verzoek datum,213,229,31 augustus 2021,42,"heeft u bij het ministerie van Infrastructuur en Waterstaat, met een beroep op de Wet openbaarheid van bestuur (hierna : Wob) verzocht om informatie","[8108, 8109]","[230, 375]","[355, 397]"
6276,c: overig,516,532,1 september 2021,42,Uw Wob-verzoek is doorgestuurd naar de Inspectie Leefomgeving en Transport (hierna: ILT) ter vermelden verdere behandeling,"[8111, 8110]","[495, 559]","[512, 663]"
6277,c: ontvangst verzoek bevestigd,774,790,1 september 2021,42,"ontvangst van uw verzoek is door de ILT schriftelijk b,evestigd bij brief",[8112],[696],[769]
6278,c: beslistermijn verdaagd,860,877,21 september 2021,42,heb ik de beslistermijn met vier weken verdaagd,[8113],[878],[925]
8104,c: besluit datum,169,180,20-JAN 2022,42,Contactpersoon,[8106],[154],[168]
6285,c: besluit datum,121,134,11 maart 2022,77,Datum,[8116],[115],[120]
6286,c: verzoek datum,159,173,6 oktober 2021,77,heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om informatie,[8117],[174],[268]
6287,c: ontvangst verzoek bevestigd,411,426,13 oktober 2021,77,ontvangst van uw verzoek is schriftelijk bevestigd bij brief,[8118],[346],[406]
6288,c: beslistermijn verdaagd,472,487,3 februari 2022,77,is aan u medegedeeld dat de beslistermijn met twee weken is verlengd,[8119],[488],[556]
6291,c: contact,767,782,3 februari 2022,77,bent er over geïnformeerd in de brief dat er een derde belanghebbende is bij de openbaarmaking van het document en dat deze in de gelegenheid is gesteld hierover zijn of haar zienswijze te geven,"[8121, 8122]","[725, 783]","[762, 939]"
6392,c: besluit datum,55,71,23 februari 2022,15,Datum,[8125],[49],[54]
6393,c: verzoek datum,95,110,6 augustus 2021,15,heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om informatie,[8126],[111],[205]
6395,c: ontvangst verzoek bevestigd,418,434,19 augustus 2021,15,,[],[],[]
6399,c: contact,699,715,1 september 2021,15,bent er over geïnformeerd in de brief dat er een derde-belanghebbende is bij de openbaarmaking van het document en dat deze in de gelegenheid is gesteld hierover een zienswijze te geven,"[8128, 8129]","[657, 716]","[694, 863]"
6518,c: besluit datum,99,115,10 augustus 2022,29,Datum,[8132],[93],[98]
6519,c: verzoek datum,157,173,21 februari 2022,29,heeft u het ministerie van Binnenlandse ook digitaal indienen op Zaken en Koninkrijksrelaties (BZK) gevraagd om informatie openbaar te maken,[8133],[174],[314]
6520,c: contact,364,377,22 maart 2022,29,In een gesprek heeft u aangegeven dat u op zoek bent naar informatie over de manier waarop de departementen invulling geven aan de controle op de declaraties gedaan door commissieleden en u wilt weten of al deze soorten declaraties worden gecontroleerd volgens deze werkwijze,"[8134, 8135]","[346, 378]","[360, 638]"
6522,c: overig,895,907,20 juli 2022,29,verzoek is bij mijn ministerie ontvangen en diezelfde dag in behandeling genomen,"[8136, 8137]","[851, 908]","[891, 947]"
6524,c: besluit datum,191,207,16 februari 2022,46,Datum: Uitsluitend verstuurd per mail op,[8140],[150],[190]
6527,c: verzoek datum,298,311,17 maart 2021,46,heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) informatie verzocht,[8141],[313],[404]
