id,label,start,end,text,doc_id,label_is_wrong,has_event,right_label
5088,DATE+,8630,8636,1 JAAR,267,0.0,0.0,
5089,DATE+,8651,8655,2004,267,0.0,0.0,
5090,DATE+,8684,8692,121 2004,267,0.0,0.0,
5091,DATE+,8716,8724,196 2005,267,0.0,0.0,
5092,DATE+,8769,8773,2005,267,0.0,0.0,
5093,DATE+,8820,8824,2005,267,0.0,0.0,
5094,DATE+,8886,8890,2005,267,0.0,0.0,
5095,DATE+,8921,8927,1 JAAR,267,0.0,0.0,
5096,DATE+,8942,8946,2005,267,0.0,0.0,
5097,DATE+,8979,8983,2005,267,0.0,0.0,
5098,DATE+,9062,9066,2006,267,0.0,0.0,
5099,DATE+,9128,9132,2006,267,0.0,0.0,
5100,DATE+,9163,9169,1 JAAR,267,0.0,0.0,
5101,DATE+,9182,9186,2006,267,0.0,0.0,
5102,DATE+,9217,9223,1 JAAR,267,0.0,0.0,
5103,DATE+,9238,9242,2006,267,0.0,0.0,
5104,DATE+,9275,9279,2006,267,0.0,0.0,
5105,DATE+,9333,9337,2006,267,0.0,0.0,
5106,DATE+,9361,9369,220 2007,267,0.0,0.0,
5107,DATE+,9427,9433,2 2007,267,0.0,0.0,
5108,DATE+,9499,9505,1 2007,267,0.0,0.0,
5109,DATE+,9545,9551,3 2007,267,0.0,0.0,
5110,DATE+,9594,9600,1 2007,267,0.0,0.0,
5111,DATE+,9647,9651,2007,267,0.0,0.0,
5112,DATE+,9711,9718,13 2007,267,0.0,0.0,
5113,DATE+,9749,9755,1 JAAR,267,0.0,0.0,
5114,DATE+,9766,9772,2 2007,267,0.0,0.0,
5115,DATE+,9803,9809,1 JAAR,267,0.0,0.0,
5116,DATE+,9821,9828,28 2007,267,0.0,0.0,
5117,DATE+,9857,9865,109 2007,267,0.0,0.0,
5118,DATE+,9954,9960,2 2008,267,0.0,0.0,
5119,DATE+,10026,10032,2 2008,267,0.0,0.0,
5120,DATE+,10074,10078,2008,267,0.0,0.0,
5121,DATE+,10123,10127,2008,267,0.0,0.0,
5122,DATE+,10174,10178,2008,267,0.0,0.0,
5123,DATE+,10240,10244,2008,267,0.0,0.0,
5124,DATE+,10275,10281,1 JAAR,267,0.0,0.0,
5125,DATE+,10294,10298,2008,267,0.0,0.0,
5126,DATE+,10329,10335,1 JAAR,267,0.0,0.0,
5127,DATE+,10350,10354,2008,267,0.0,0.0,
5128,DATE+,10387,10391,2008,267,0.0,0.0,
5129,DATE+,10445,10449,2008,267,0.0,0.0,
5130,DATE+,10473,10481,218 2009,267,0.0,0.0,
5131,DATE+,10539,10545,1 2009,267,0.0,0.0,
5132,DATE+,10611,10617,1 2009,267,0.0,0.0,
5133,DATE+,10659,10663,2009,267,0.0,0.0,
5134,DATE+,10710,10714,2009,267,0.0,0.0,
5135,DATE+,10776,10780,2009,267,0.0,0.0,
5136,DATE+,10811,10817,1 JAAR,267,0.0,0.0,
5137,DATE+,10830,10834,2009,267,0.0,0.0,
5138,DATE+,10865,10871,1 JAAR,267,0.0,0.0,
5139,DATE+,10886,10890,2009,267,0.0,0.0,
5140,DATE+,10923,10927,2009,267,0.0,0.0,
5141,DATE+,10981,10985,2009,267,0.0,0.0,
5142,DATE+,11013,11017,2010,267,0.0,0.0,
5143,DATE+,11075,11081,1 2010,267,0.0,0.0,
5144,DATE+,11147,11153,1 2010,267,0.0,0.0,
5145,DATE+,11207,11211,2010,267,0.0,0.0,
5146,DATE+,11256,11260,2010,267,0.0,0.0,
5147,DATE+,11307,11311,2010,267,0.0,0.0,
5148,DATE+,11373,11377,2010,267,0.0,0.0,
5149,DATE+,11408,11414,1 JAAR,267,0.0,0.0,
5150,DATE+,11427,11431,2010,267,0.0,0.0,
5151,DATE+,11462,11468,1 JAAR,267,0.0,0.0,
5152,DATE+,11483,11487,2010,267,0.0,0.0,
5153,DATE+,11520,11524,2010,267,0.0,0.0,
5154,DATE+,11548,11556,226 2011,267,0.0,0.0,
5155,DATE+,11594,11600,3 JAAR,267,0.0,0.0,
5156,DATE+,11620,11626,1 2011,267,0.0,0.0,
5157,DATE+,11692,11698,1 2011,267,0.0,0.0,
5158,DATE+,11752,11756,2011,267,0.0,0.0,
5159,DATE+,11801,11805,2011,267,0.0,0.0,
5160,DATE+,11852,11856,2011,267,0.0,0.0,
5161,DATE+,11918,11922,2011,267,0.0,0.0,
5162,DATE+,11953,11959,1 JAAR,267,0.0,0.0,
5163,DATE+,11972,11976,2011,267,0.0,0.0,
5164,DATE+,12007,12013,1 JAAR,267,0.0,0.0,
5165,DATE+,12028,12032,2011,267,0.0,0.0,
5166,DATE+,12065,12069,2011,267,0.0,0.0,
5167,DATE+,12093,12101,220 2012,267,0.0,0.0,
5168,DATE+,12140,12146,3 JAAR,267,0.0,0.0,
5169,DATE+,12166,12172,1 2012,267,0.0,0.0,
5170,DATE+,12210,12216,3 JAAR,267,0.0,0.0,
5171,DATE+,12236,12242,2 2012,267,0.0,0.0,
5172,DATE+,12344,12348,2012,267,0.0,0.0,
5173,DATE+,12395,12399,2012,267,0.0,0.0,
5174,DATE+,12461,12465,2012,267,0.0,0.0,
5175,DATE+,12496,12502,1 JAAR,267,0.0,0.0,
5176,DATE+,12515,12519,2012,267,0.0,0.0,
5177,DATE+,12550,12556,1 JAAR,267,0.0,0.0,
5178,DATE+,12571,12575,2012,267,0.0,0.0,
5179,DATE+,12636,12644,220 2013,267,0.0,0.0,
5180,DATE+,12683,12689,3 JAAR,267,0.0,0.0,
5181,DATE+,12709,12715,1 2013,267,0.0,0.0,
5182,DATE+,12753,12759,3 JAAR,267,0.0,0.0,
5183,DATE+,12779,12785,1 2013,267,0.0,0.0,
5184,DATE+,12851,12857,1 2013,267,0.0,0.0,
5185,DATE+,12923,12929,2 2013,267,0.0,0.0,
5186,DATE+,12983,12987,2013,267,0.0,0.0,
5187,DATE+,13030,13036,1 2013,267,0.0,0.0,
5188,DATE+,13083,13087,2013,267,0.0,0.0,
5189,DATE+,13118,13124,1 JAAR,267,0.0,0.0,
5190,DATE+,13135,13141,1 2013,267,0.0,0.0,
5191,DATE+,13172,13178,1 JAAR,267,0.0,0.0,
5192,DATE+,13193,13197,2013,267,0.0,0.0,
5193,DATE+,13230,13234,2013,267,0.0,0.0,
5194,DATE+,13258,13266,216 2014,267,0.0,0.0,
5195,DATE+,13332,13338,3 2014,267,0.0,0.0,
5196,DATE+,13392,13396,2014,267,0.0,0.0,
5197,DATE+,13443,13447,2014,267,0.0,0.0,
5198,DATE+,13509,13513,2014,267,0.0,0.0,
5199,DATE+,13544,13550,1 JAAR,267,0.0,0.0,
5200,DATE+,13565,13569,2014,267,0.0,0.0,
5201,DATE+,13602,13606,2014,267,0.0,0.0,
5202,DATE+,13646,13650,2014,267,0.0,0.0,
5203,DATE+,13674,13682,220 2015,267,0.0,0.0,
5204,DATE+,13720,13726,3 JAAR,267,0.0,0.0,
5205,DATE+,13746,13752,2 2015,267,0.0,0.0,
5206,DATE+,13818,13824,1 2015,267,0.0,0.0,
5207,DATE+,13878,13882,2015,267,0.0,0.0,
5208,DATE+,13927,13931,2015,267,0.0,0.0,
5209,DATE+,13978,13982,2015,267,0.0,0.0,
5210,DATE+,14044,14048,2015,267,0.0,0.0,
5211,DATE+,14079,14085,1 JAAR,267,0.0,0.0,
5212,DATE+,14098,14102,2015,267,0.0,0.0,
5213,DATE+,14133,14139,1 JAAR,267,0.0,0.0,
5214,DATE+,14154,14158,2015,267,0.0,0.0,
5215,DATE+,14191,14195,2015,267,0.0,0.0,
5216,DATE+,14223,14227,2016,267,0.0,0.0,
5217,DATE+,14265,14271,3 JAAR,267,0.0,0.0,
5218,DATE+,14291,14297,2 2016,267,0.0,0.0,
5219,DATE+,14363,14369,1 2016,267,0.0,0.0,
5220,DATE+,14435,14441,1 2016,267,0.0,0.0,
5221,DATE+,14495,14499,2016,267,0.0,0.0,
5222,DATE+,14544,14548,2016,267,0.0,0.0,
5223,DATE+,14595,14599,2016,267,0.0,0.0,
5224,DATE+,14630,14636,1 JAAR,267,0.0,0.0,
5225,DATE+,14649,14653,2016,267,0.0,0.0,
5226,DATE+,14684,14690,1 JAAR,267,0.0,0.0,
5227,DATE+,14737,14745,141 2016,267,0.0,0.0,
5228,DATE+,14773,14777,2017,267,0.0,0.0,
5229,DATE+,14815,14821,3 JAAR,267,0.0,0.0,
5230,DATE+,14841,14847,1 2017,267,0.0,0.0,
5231,DATE+,14913,14919,3 2017,267,0.0,0.0,
5232,DATE+,14985,14991,1 2017,267,0.0,0.0,
5233,DATE+,15045,15049,2017,267,0.0,0.0,
5234,DATE+,15094,15098,2017,267,0.0,0.0,
5235,DATE+,15145,15149,2017,267,0.0,0.0,
5236,DATE+,15211,15215,2017,267,0.0,0.0,
5237,DATE+,15246,15252,1 JAAR,267,0.0,0.0,
5238,DATE+,15265,15269,2017,267,0.0,0.0,
5239,DATE+,15300,15306,1 JAAR,267,0.0,0.0,
5240,DATE+,15321,15325,2017,267,0.0,0.0,
5241,DATE+,15358,15362,2017,267,0.0,0.0,
5242,DATE+,15390,15394,2018,267,0.0,0.0,
5243,DATE+,15460,15466,5 2018,267,0.0,0.0,
5244,DATE+,15520,15524,2018,267,0.0,0.0,
5245,DATE+,15569,15573,2018,267,0.0,0.0,
5246,DATE+,15620,15624,2018,267,0.0,0.0,
5247,DATE+,15686,15690,2018,267,0.0,0.0,
5248,DATE+,15721,15727,1 JAAR,267,0.0,0.0,
5249,DATE+,15740,15744,2018,267,0.0,0.0,
5250,DATE+,15775,15781,1 JAAR,267,0.0,0.0,
5251,DATE+,15796,15800,2018,267,0.0,0.0,
5252,DATE+,15833,15837,2018,267,0.0,0.0,
5253,DATE+,15865,15869,2019,267,0.0,0.0,
5254,DATE+,15935,15941,2 2019,267,0.0,0.0,
5255,DATE+,16007,16013,1 2019,267,0.0,0.0,
5256,DATE+,16067,16071,2020,267,0.0,0.0,
5257,DATE+,16137,16143,2 2020,267,0.0,0.0,
5258,DATE+,16209,16215,1 2020,267,0.0,0.0,
5259,DATE+,16344,16348,2021,267,0.0,0.0,
5260,DATE+,16397,16401,2021,267,0.0,0.0,
5261,DATE+,16463,16467,2021,267,0.0,0.0,
5313,DATE+,640,653,29 april 2022,74,0.0,0.0,
5314,DATE+,1328,1332,2001,74,0.0,0.0,
5315,DATE+,1362,1366,2001,74,0.0,0.0,
5316,DATE+,1476,1480,2001,74,0.0,0.0,
5317,DATE+,1678,1682,2001,74,0.0,0.0,
5318,DATE+,1823,1827,2001,74,0.0,0.0,
5319,DATE+,2007,2011,2001,74,0.0,0.0,
5320,DATE+,2369,2373,2001,74,0.0,0.0,
5321,DATE+,2506,2516,11-03-1953,74,0.0,0.0,
5322,DATE+,2577,2587,01-12-1954,74,0.0,0.0,
5323,DATE+,2680,2686,17-12-,74,0.0,0.0,
5324,DATE+,2687,2691,1997,74,0.0,0.0,
5325,DATE+,2769,2775,22 739,74,0.0,0.0,
5326,DATE+,2804,2814,06-06-1984,74,0.0,0.0,
5327,DATE+,3039,3049,14-08-1985,74,0.0,0.0,
5328,DATE+,3063,3071,1985/332,74,0.0,0.0,
5329,DATE+,3086,3096,04-01-1989,74,0.0,0.0,
5330,DATE+,3263,3273,20-09-1967,74,0.0,0.0,
5331,DATE+,3275,3281,261/67,74,0.0,0.0,
5332,DATE+,3425,3435,28-06-1989,74,0.0,0.0,
5333,DATE+,3553,3563,18-04-1990,74,0.0,0.0,
5334,DATE+,3774,3784,20-01-1989,74,0.0,0.0,
5335,DATE+,3798,3806,1990/172,74,0.0,0.0,
5336,DATE+,3963,3975,14 juni 1972,74,0.0,0.0,
5337,DATE+,3991,4006,23 januari 1957,74,0.0,0.0,
5338,DATE+,4026,4030,2001,74,0.0,0.0,
5339,DATE+,4090,4105,9 december 2011,74,0.0,0.0,
5340,DATE+,4429,4440,21 mei 1958,74,0.0,0.0,
5341,DATE+,4594,4605,6 juni 1995,74,0.0,0.0,
5342,DATE+,4804,4808,1941,74,0.0,0.0,
5343,DATE+,5225,5229,2001,74,0.0,0.0,
5344,DATE+,5481,5485,2001,74,0.0,0.0,
5345,DATE+,5503,5519,12 november 1975,74,0.0,0.0,
5346,DATE+,5576,5580,1964,74,0.0,0.0,
5347,DATE+,5827,5831,2001,74,0.0,0.0,
5348,DATE+,5967,5977,tien jaren,74,0.0,0.0,
5349,DATE+,6381,6387,27 209,74,0.0,0.0,
5350,DATE+,6609,6619,tien jaren,74,0.0,0.0,
5351,DATE+,7008,7012,2005,74,0.0,0.0,
5352,DATE+,7212,7216,2001,74,0.0,0.0,
5353,DATE+,7225,7229,2008,74,0.0,0.0,
5354,DATE+,7343,7358,9 december 2011,74,0.0,0.0,
5355,DATE+,7564,7579,9 december 2011,74,0.0,0.0,
5356,DATE+,7857,7872,9 december 2011,74,0.0,0.0,
5357,DATE+,8098,8102,2001,74,0.0,0.0,
5358,DATE+,8699,8703,2001,74,0.0,0.0,
5359,DATE+,8866,8876,tien jaren,74,0.0,0.0,
5360,DATE+,9276,9291,9 december 2011,74,0.0,0.0,
5361,DATE+,9432,9448,5 september 1986,74,0.0,0.0,
5362,DATE+,9469,9485,25 november 1998,74,0.0,0.0,
5363,DATE+,9506,9522,19 december 2003,74,0.0,0.0,
5364,DATE+,9681,9694,10 maart 2006,74,0.0,0.0,
5365,DATE+,9772,9785,10 maart 2006,74,0.0,0.0,
5366,DATE+,9843,9856,10 maart 2006,74,0.0,0.0,
5367,DATE+,9945,9960,9 december 2011,74,0.0,0.0,
5368,DATE+,10168,10172,2005,74,0.0,0.0,
5369,DATE+,10267,10282,9 december 2011,74,0.0,0.0,
5370,DATE+,10535,10547,3 april 1998,74,0.0,0.0,
5371,DATE+,10629,10645,13 december 2000,74,0.0,0.0,
5372,DATE+,10745,10760,9 december 2011,74,0.0,0.0,
5373,DATE+,10912,10927,5 december 2006,74,0.0,0.0,
5374,DATE+,10957,10972,5 december 2006,74,0.0,0.0,
5375,DATE+,11017,11028,10 mei 2004,74,0.0,0.0,
5376,DATE+,11078,11082,2004,74,0.0,0.0,
5377,DATE+,11104,11120,15 februari 2005,74,0.0,0.0,
5378,DATE+,11132,11136,2005,74,0.0,0.0,
5379,DATE+,11193,11209,13 december 2000,74,0.0,0.0,
5380,DATE+,11318,11322,2005,74,0.0,0.0,
5381,DATE+,11487,11491,2005,74,0.0,0.0,
5382,DATE+,11687,11702,9 december 2011,74,0.0,0.0,
5383,DATE+,11821,11836,9 december 2011,74,0.0,0.0,
5384,DATE+,11899,11912,10 maart 2006,74,0.0,0.0,
5385,DATE+,12007,12022,9 december 2011,74,0.0,0.0,
5386,DATE+,12116,12120,2001,74,0.0,0.0,
5387,DATE+,12717,12721,2001,74,0.0,0.0,
5388,DATE+,12884,12894,tien jaren,74,0.0,0.0,
5389,DATE+,13293,13308,9 december 2011,74,0.0,0.0,
5390,DATE+,13449,13465,5 september 1986,74,0.0,0.0,
5391,DATE+,13486,13502,25 november 1998,74,0.0,0.0,
5392,DATE+,13523,13539,19 december 2003,74,0.0,0.0,
5393,DATE+,13698,13711,10 maart 2006,74,0.0,0.0,
5394,DATE+,13789,13802,10 maart 2006,74,0.0,0.0,
5395,DATE+,13860,13873,10 maart 2006,74,0.0,0.0,
5396,DATE+,13961,13976,9 december 2011,74,0.0,0.0,
5397,DATE+,14184,14188,2005,74,0.0,0.0,
5398,DATE+,14283,14298,9 december 2011,74,0.0,0.0,
5399,DATE+,14697,14709,3 april 1998,74,0.0,0.0,
5400,DATE+,14791,14807,13 december 2000,74,0.0,0.0,
5401,DATE+,14907,14922,9 december 2011,74,0.0,0.0,
5402,DATE+,15074,15089,5 december 2006,74,0.0,0.0,
5403,DATE+,15119,15134,5 december 2006,74,0.0,0.0,
5404,DATE+,15179,15190,10 mei 2004,74,0.0,0.0,
5405,DATE+,15240,15244,2004,74,0.0,0.0,
5406,DATE+,15266,15282,15 februari 2005,74,0.0,0.0,
5407,DATE+,15294,15298,2005,74,0.0,0.0,
5408,DATE+,15355,15371,13 december 2000,74,0.0,0.0,
5409,DATE+,15480,15484,2005,74,0.0,0.0,
5410,DATE+,15648,15652,2005,74,0.0,0.0,
5411,DATE+,15848,15863,9 december 2011,74,0.0,0.0,
5412,DATE+,15982,15997,9 december 2011,74,0.0,0.0,
5413,DATE+,16060,16073,10 maart 2006,74,0.0,0.0,
5414,DATE+,16289,16303,1 januari 2018,74,0.0,0.0,
5415,DATE+,16414,16428,1 januari 2018,74,0.0,0.0,
5416,DATE+,16552,16566,1 januari 2018,74,0.0,0.0,
5417,DATE+,16758,16762,2017,74,0.0,0.0,
5418,DATE+,16837,16851,1 januari 2018,74,0.0,0.0,
5419,DATE+,16946,16950,2017,74,0.0,0.0,
5420,DATE+,17030,17044,1 januari 2018,74,0.0,0.0,
5421,DATE+,17099,17113,1 januari 2018,74,0.0,0.0,
5422,DATE+,17191,17205,1 januari 2018,74,0.0,0.0,
5423,DATE+,17418,17432,1 januari 2018,74,0.0,0.0,
5424,DATE+,17589,17600,2 juli 2015,74,0.0,0.0,
5425,DATE+,17722,17736,1 januari 2018,74,0.0,0.0,
5426,DATE+,17792,17800,augustus,74,0.0,0.0,
5427,DATE+,17992,18003,31 mei 2017,74,0.0,0.0,
5428,DATE+,18087,18101,1 januari 2018,74,0.0,0.0,
5429,DATE+,18272,18286,1 januari 2018,74,0.0,0.0,
5430,DATE+,18319,18333,1 januari 2018,74,0.0,0.0,
5431,DATE+,18387,18401,1 januari 2018,74,0.0,0.0,
5432,DATE+,18584,18598,1 januari 2018,74,0.0,0.0,
5433,DATE+,18775,18779,2017,74,0.0,0.0,
5434,DATE+,18853,18857,2017,74,0.0,0.0,
5435,DATE+,19117,19128,2 juli 2015,74,0.0,0.0,
5436,DATE+,19217,19221,2017,74,0.0,0.0,
5437,DATE+,19252,19256,2018,74,0.0,0.0,
5438,DATE+,19307,19311,2017,74,0.0,0.0,
5439,DATE+,19340,19344,2017,74,0.0,0.0,
5440,DATE+,19390,19404,1 januari 2018,74,0.0,0.0,
5441,DATE+,19568,19572,2018,74,0.0,0.0,
5442,DATE+,19665,19669,2018,74,0.0,0.0,
5443,DATE+,19699,19703,2018,74,0.0,0.0,
5444,DATE+,19840,19854,1 januari 2018,74,0.0,0.0,
5445,DATE+,19921,19936,15 januari 2018,74,0.0,0.0,
5446,DATE+,20051,20065,1 januari 2018,74,0.0,0.0,
5447,DATE+,20136,20147,2 juli 2015,74,0.0,0.0,
5448,DATE+,20222,20236,1 januari 2018,74,0.0,0.0,
5449,DATE+,20402,20413,2 juli 2015,74,0.0,0.0,
5450,DATE+,20446,20454,augustus,74,0.0,0.0,
5451,DATE+,20646,20657,31 mei 2017,74,0.0,0.0,
5452,DATE+,20734,20745,2 juli 2015,74,0.0,0.0,
5453,DATE+,20749,20763,1 januari 2018,74,0.0,0.0,
5454,DATE+,21140,21144,2017,74,0.0,0.0,
5455,DATE+,21213,21224,2 juli 2015,74,0.0,0.0,
5456,DATE+,21362,21377,9 december 2009,74,0.0,0.0,
5457,DATE+,114,118,2022,117,0.0,0.0,
5460,DATE+,541,545,2019,117,0.0,0.0,
5461,DATE+,820,837,20 september 2019,117,0.0,0.0,
5465,DATE+,1285,1289,2019,117,0.0,0.0,
5466,DATE+,142,149,1 april,2,1.0,1.0,1 april 2022
5467,DATE+,150,154,2022,2,1.0,1.0,1 april 2022
5469,DATE+,613,617,2010,2,1.0,0.0,2010 t/m 2020
5470,DATE+,622,626,2020,2,1.0,0.0,2010 t/m 2020
5472,DATE+,814,818,2022,2,0.0,0.0,
5473,DATE+,1049,1053,2022,2,0.0,0.0,
5474,DATE+,1238,1242,2022,2,0.0,0.0,
5475,DATE+,1338,1350,1 april 2022,2,0.0,0.0,
5476,DATE+,1412,1416,2022,2,0.0,0.0,
5477,DATE+,1630,1634,2022,2,0.0,0.0,
5478,DATE+,1938,1942,2022,2,0.0,0.0,
5479,DATE+,2162,2166,2022,2,0.0,0.0,
5480,DATE+,2299,2311,1 april 2022,2,0.0,0.0,
5481,DATE+,2490,2494,2010,2,0.0,0.0,
5482,DATE+,2511,2515,2011,2,0.0,0.0,
5483,DATE+,2525,2533,462 1122,2,0.0,0.0,
5484,DATE+,2534,2538,2012,2,0.0,0.0,
5485,DATE+,2557,2561,2013,2,0.0,0.0,
5486,DATE+,2572,2580,694 1725,2,0.0,0.0,
5487,DATE+,2581,2585,2014,2,0.0,0.0,
5488,DATE+,2594,2600,83 242,2,0.0,0.0,
5489,DATE+,2601,2605,2015,2,0.0,0.0,
5490,DATE+,2623,2627,2016,2,0.0,0.0,
5491,DATE+,2641,2649,906 2017,2,0.0,0.0,
5492,DATE+,2663,2671,414 2018,2,0.0,0.0,
5493,DATE+,2681,2689,404 1030,2,0.0,0.0,
5494,DATE+,2690,2694,2019,2,0.0,0.0,
5495,DATE+,2707,2715,382 2020,2,0.0,0.0,
5496,DATE+,2725,2732,393 814,2,0.0,0.0,
5500,DATE+,842,859,22 september 2022,81,0.0,0.0,
5501,DATE+,1184,1201,22 september 2022,81,0.0,0.0,
5502,DATE+,1376,1386,28-04-2017,81,0.0,0.0,
5503,DATE+,1451,1460,26-6-2017,81,0.0,0.0,
5504,DATE+,1503,1513,27-05-2019,81,0.0,0.0,
5505,DATE+,1576,1586,10-10-2019,81,0.0,0.0,
5506,DATE+,1651,1661,28-10-2019,81,0.0,0.0,
5511,DATE+,75,87,januari 2022,101,1.0,0.0,16 januari 2022
5519,DATE+,305,321,25 februari 2020,65,1.0,0.0,25 februari 2020 tot en met 9 december 2021
5520,DATE+,333,348,9 december 2021,65,1.0,0.0,25 februari 2020 tot en met 9 december 2021
5530,DATE+,795,811,16 februari 2011,50,0.0,0.0,
5532,DATE+,104,111,22-0097,57,0.0,0.0,
5535,DATE+,373,377,2021,57,0.0,0.0,
5536,DATE+,581,585,2021,57,0.0,0.0,
