id,label,start,end,text,doc_id,sentence,event,event_ids,start_event,end_event
5028,c: besluit datum,126,137,13 mei 2022,267,"Woo-medewerker T 088 042 42 42 KPEU_Wob@rvo.nl D atum 13 mei 2022 B etreft Besluit op uw Wob-verzoek Onze referentie WOB/2022/021 Geachte heer/mevrouw , In uw brief van 1 februari 2022 heeft u, met een beroep op de Wet openbaarheid van bestuur (hierna: Wob), verzocht om informatie.",D atum,[5304],[119],[125]
5029,c: verzoek datum,241,256,1 februari 2022,267,"Woo-medewerker T 088 042 42 42 KPEU_Wob@rvo.nl D atum 13 mei 2022 B etreft Besluit op uw Wob-verzoek Onze referentie WOB/2022/021 Geachte heer/mevrouw , In uw brief van 1 februari 2022 heeft u, met een beroep op de Wet openbaarheid van bestuur (hierna: Wob), verzocht om informatie.","heeft u, met een beroep op de Wet openbaarheid van bestuur (hierna: Wob), verzocht om informatie",[5305],[257],[353]
5034,c: ontvangst verzoek bevestigd,813,828,2 februari 2022,267,De ontvangst van uw verzoek is schriftelijk bevestigd bij brief van 2 februari 2022.,ontvangst van uw verzoek is schriftelijk bevestigd bij brief,[8265],[748],[808]
5035,c: inwerking treden van Woo,852,862,1 mei 2022,267,Wettelijk kader Op 1 mei 2022 is de Wob ingetrokken en vervangen door de Wet open overheid (Woo).,is de Wob ingetrokken en vervangen door de Wet open overheid (Woo),[5309],[863],[929]
5310,c: besluit datum,220,233,29 april 2022,74,Correspondentieadres Belastingdienst/kantoor Den Haag Postbus 30206 2500 GE Den Haag Doorkiesnummer E-mailadres Datum Betreft: Beslissing Wob-verzoek 29 april 2022,Datum Betreft: Beslissing Wob-verzoek,[7799],[182],[219]
5311,c: verzoek ontvangen,262,279,15 september 2021,74,heer Behandeld door Op 15 september 2021 ontving ik uw verzoek om informatie op grond van de Wet Ons kenmerk openbaarheid van bestuur (hierna: Wob).,ontving ik uw verzoek om informatie,[7761],[280],[315]
5312,c: verzoek datum,448,465,15 september 2021,74,"afschrijfbaar Beoordeling van uw verzoek In uw brief van 15 september 2021 verzoekt u op grond van de Wob om de volgende informatie: ""Dit verzoek is opgesteld in het kader van de kwalificatie van een bedrijfsmiddel in de breedste zin des woords.",verzoekt u op grond van de Wob om de volgende informatie,[7762],[466],[522]
7772,c: besluit datum,142,154,1 april 2022,25,"Wob-medewerker T 088 042 42 42 KPEU_Wob@rvo.nl Datum 1 april 2022 Onze referentie Betreft Besluit op uw Wob-verzoek WOB/2021/297 Geachte , In uw brief van 14 december 2021 heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht, namens , om informatie over geregistreerd mesttransport naar het perceel op plangebied Akkerlanen (gelegen tussen de Akkerlaan, de Vijverlaan en het Postpad in de gemeente Waalwijk, welk perceel volgens de basisregistratie als grasland is aangemerkt voor de periode van 2010 t/m 2020.",Datum,[7773],[136],[141]
5468,c: verzoek datum,244,260,14 december 2021,25,"Wob-medewerker T 088 042 42 42 KPEU_Wob@rvo.nl Datum 1 april 2022 Onze referentie Betreft Besluit op uw Wob-verzoek WOB/2021/297 Geachte , In uw brief van 14 december 2021 heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht, namens , om informatie over geregistreerd mesttransport naar het perceel op plangebied Akkerlanen (gelegen tussen de Akkerlaan, de Vijverlaan en het Postpad in de gemeente Waalwijk, welk perceel volgens de basisregistratie als grasland is aangemerkt voor de periode van 2010 t/m 2020.","heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht, namens , om informatie",[7774],[261],[365]
5471,c: ontvangst verzoek bevestigd,709,725,27 december 2021,25,"Procedure De ontvangst van uw verzoek is schriftelijk bevestigd bij brief van 27 december 2021, kenmerk WOB/2021/297.",ontvangst van uw verzoek is schriftelijk bevestigd bij brief,[8276],[644],[704]
5497,c: besluit datum,129,146,22 september 2022,81,Woo-unit@rvo.nl Datum 22 september 2022,Datum,[7780],[123],[128]
5498,c: verzoek datum,169,185,12 augustus 2022,81,"heer/mevrouw, Op 12 augustus 2022 heeft u, namens uw cliënt, met een beroep op de Wet open overheid (hierna: Woo) verzocht om alle interne en externe correspondentie en documenten over de vaststelling van de fosfaatrechten en de referentiedatum in het kader van zowel het fosfaatreductieplan als voor de vaststelling van het aantal fosfaatrechten voor uw cliënt en zijn rechtsvoorganger, zowel voorafgaand aan als tijdens de procedure met het kenmerk 494-21723.","heeft u, namens uw cliënt, met een beroep op de Wet open overheid (hierna: Woo) verzocht",[7782],[186],[274]
5499,c: ontvangst verzoek bevestigd,695,711,17 augustus 2022,81,"Procedure De ontvangst van uw verzoek is schriftelijk bevestigd bij brief van 17 augustus 2022, met referentie Woo/2022/085.",ontvangst van uw verzoek is schriftelijk bevestigd bij brief,[8278],[630],[690]
5512,c: besluit datum,98,111,11 april 2022,101,Datum 11 april 2022,Datum,[7790],[92],[97]
5513,c: verzoek datum,121,136,16 januari 2022,101,", Op 16 januari 2022 heeft u een Wob-verzoek per e-mail ingediend bij ABD Topconsult en het Ministerie van Landbouw, Natuur en voedselkwaliteit (verder: Ministerie van LNV).",heeft u een Wob-verzoek per e-mail ingediend,[7791],[137],[181]
5514,c: overig,343,353,april 2021,101,Dit rapport is door ABD Topconsult uitgebracht in april 2021.,rapport is door ABD Topconsult uitgebracht,[7792],[297],[339]
5515,c: overig,361,368,2 maart,101,"Op 2 maart is dit verzoek vanuit het Ministerie van LNV doorgestuurd naar mijn ministerie, omdat het documenten zou betreffen die gedeeltelijk bij mijn ministerie zouden berusten.",is dit verzoek vanuit het Ministerie van LNV doorgestuurd naar mijn ministerie,[7794],[369],[447]
5516,c: ontvangst verzoek bevestigd,615,627,3 maart 2022,101,"De ontvangst van uw verzoek heb ik u schriftelijk bevestigd bij brief van 3 maart 2022, met kenmerk nummer 2022-0000062533.",ontvangst van uw verzoek heb ik u schriftelijk bevestigd bij brief,[8279],[544],[610]
5517,c: besluit datum,156,167,31 MEI 2022,65,2 31 MEI 2022,2,[8349],[154],[155]
5518,c: verzoek datum,189,204,9 december 2021,65,In uw e-mail van 9 december 2021 heeft u een Wob-verzoek ingediend en vraagt u daarbij om de volgende informatie over de periode van 25 februari 2020 tot en met 9 december 2021: - alle in- en uitgaande correspondentie tussen uw bestuursorgaan en de gemeente Zeewolde/provincie Flevoland (en mogelijk ook met andere bestuursorganen) ontvangen inzake de plannen in Zeewolde; - alle overige documenten bij of onder u aanwezig (bijvoorbeeld over hyperscale datacenters in Zeewolde en/of de Wieringermeer en/of andere gebieden in Nederland) waarin op enigerlei wijze gerept wordt over hyperscale datacenters/NOVI/overige relevante zaken inzake hyperscale datacenters.,heeft u een Wob-verzoek ingediend,[7803],[205],[238]
5521,c: inwerking treden van Woo,844,854,1 mei 2022,65,Vanaf 1 mei 2022 is de Wob vervangen door de Wet open overheid (hierna: Woo).,is de Wob vervangen door de Wet open overheid (hierna: Woo),[7806],[855],[914]
5522,c: inwerking treden van Woo,975,980,1 mei,65,"De Woo kent geen overgangsrecht, dit betekent dat vanaf 1 mei de Woo geldt.",Woo geldt,[7807],[984],[993]
5523,c: verzoek datum,1023,1038,9 december 2021,65,Procesverloop U heeft op 9 december 2021 uw Wob-verzoek ingediend.,heeft Wob-verzoek ingediend,"[10772, 10773]","[1014, 1042]","[1019, 1063]"
5524,c: ontvangst verzoek bevestigd,1082,1098,10 december 2021,65,Bij brief van 10 december 2021 is uw verzoek voor ontvangst bevestigd.,is uw verzoek voor ontvangst bevestigd,[7810],[1099],[1137]
5525,c: overig,1171,1184,12 april 2022,65,Het eerste deelbesluit is op 12 april 2022 genomen.,eerste deelbesluit is genomen,"[7811, 7812]","[1146, 1185]","[1167, 1192]"
5526,c: besluit datum,267,279,5 april 2022,50,> Retouradres Postbus 43006 3540 AA Utrecht directie Strategie divisie Juridische zaken Catharijnesingel 59 AANGETEKEND 3511 GG Utrecht Postbus 43006 3540 AA Utrecht www.nvwa.nl Onze referentie TRCNVWA/2022/2598 Datum: 5 april 2022 verstuurd per e-mail,Datum,[7816],[260],[265]
5527,c: verzoek datum,314,326,26 juli 2021,50,heer Op 26 juli 2021 heeft u per e-mail een Wob-verzoek ingediend.,heeft u per e-mail een Wob-verzoek ingediend,[7817],[326],[371]
5528,c: ontvangst verzoek bevestigd,432,444,27 juli 2021,50,De ontvangst van uw verzoek is bevestigd bij e-mail van 27 juli 2021 met kenmerk 21-0599.,ontvangst van uw verzoek is bevestigd bij e-mail,[8280],[379],[427]
5529,c: contact,496,512,24 februari 2022,50,Zienswijzen Bij e-mail van 24 februari 2022 heb ik u geïnformeerd dat ik de aangetroffen documenten aan de derde-belanghebbende opgestuurd heb voor zienswijze.,heb ik u geïnformeerd dat ik de aangetroffen documenten aan de derde-belanghebbende opgestuurd heb voor zienswijze,[10741],[513],[627]
5531,c: besluit datum,55,67,26 juli 2022,57,Datum: 26 juli 2022,Datum,[7823],[48],[53]
5533,c: verzoek datum,133,148,1 februari 2022,57,"In uw brief van 1 februari 2022, ontvangen op 1 februari 2022, verzocht u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) om: - alle individuele rapporten en rapporten van bevindingen met bijlagen en het bijbehorende beeldmateriaal, die in 2021 zijn opgemaakt naar aanleiding van dierenwelzijn-inspecties van Nederlandse stallen met vleeskalveren; - een overzicht van alle dierenwelzijn-inspecties van alle Nederlandse stallen met vleeskalveren in 2021, alsmede het nalevingspercentage bij kalveren in 2021.",verzocht u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob),[7824],[180],[254]
5534,c: verzoek ontvangen,163,178,1 februari 2022,57,"In uw brief van 1 februari 2022, ontvangen op 1 februari 2022, verzocht u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) om: - alle individuele rapporten en rapporten van bevindingen met bijlagen en het bijbehorende beeldmateriaal, die in 2021 zijn opgemaakt naar aanleiding van dierenwelzijn-inspecties van Nederlandse stallen met vleeskalveren; - een overzicht van alle dierenwelzijn-inspecties van alle Nederlandse stallen met vleeskalveren in 2021, alsmede het nalevingspercentage bij kalveren in 2021.",ontvangen,[7826],[150],[159]
5538,c: ontvangst verzoek bevestigd,712,727,1 februari 2022,57,De ontvangst van uw verzoek is schriftelijk bevestigd bij brief van 1 februari 2022 met kenmerk 22-0097.,ontvangst van uw verzoek is schriftelijk bevestigd bij brief,[7827],[647],[707]
5539,c: beslistermijn verdaagd,768,784,28 februari 2022,57,In de brief van 28 februari 2022 is de beslistermijn met vier weken verdaagd.,is de beslistermijn met vier weken verdaagd,[7828],[785],[828]
5540,c: inwerking treden van Woo,836,846,1 mei 2022,57,Op 1 mei 2022 is de Wet open overheid (hierna: Woo) inwerking getreden en is de Wob ingetrokken (artikel 10.1.,is de Wet open overheid (hierna: Woo) inwerking getreden en is de Wob ingetrokken,[7829],[847],[928]
5545,c: contact,1484,1497,29 maart 2022,57,Deze is via onderstaande link te raadplegen: Inspectieresultaten welzijn vleeskalveren 2021 | Inspectieresultaat | NVWA Zienswijzen Per e-mail van 29 maart 2022 bent u geïnformeerd dat er derde belanghebbenden bij de openbaarmaking van de documenten zijn betrokken en dat deze in de gelegenheid zijn gesteld hierover een zienswijze te geven.,bent u geïnformeerd dat er derde belanghebbenden bij de openbaarmaking van de documenten zijn betrokken en dat deze in de gelegenheid zijn gesteld hierover een zienswijze te geven,[10740],[1498],[1677]
5550,c: besluit datum,378,393,11 oktober 2022,59,Uw kenmerk Datum: verzonden op 11 oktober 2022,Datum: verzonden op,[7833],[358],[377]
5551,c: verzoek datum,465,478,29 maart 2022,59,"heer In uw verzoek van 29 maart 2022, door mij op 31 maart 2022 ontvangen, heeft u de Nederlandse Voedsel- en Warenautoriteit (hierna: NVWA) gevraagd om informatie openbaar te maken over de positie van een bepaalde onderneming in relatie tot de totstandkoming van het fosfaat reductieplan vanaf 2014 en de totstandkoming en uitvoering van het fosfaatrechtenstelsel en het schrappen/laten verdwijnen van de erkenning van boerderij melk van een bepaalde onderneming.",heeft u de Nederlandse Voedsel- en Warenautoriteit (hierna: NVWA) gevraagd om informatie openbaar te maken,[7835],[517],[623]
5552,c: verzoek ontvangen,492,505,31 maart 2022,59,"heer In uw verzoek van 29 maart 2022, door mij op 31 maart 2022 ontvangen, heeft u de Nederlandse Voedsel- en Warenautoriteit (hierna: NVWA) gevraagd om informatie openbaar te maken over de positie van een bepaalde onderneming in relatie tot de totstandkoming van het fosfaat reductieplan vanaf 2014 en de totstandkoming en uitvoering van het fosfaatrechtenstelsel en het schrappen/laten verdwijnen van de erkenning van boerderij melk van een bepaalde onderneming.",ontvangen,[7834],[506],[515]
5555,c: ontvangst verzoek bevestigd,1185,1198,31 maart 2022,59,Op 31 maart 2022 heeft u per aangetekende brief bericht ontvangen dat uw verzoek in goede orde is ontvangen.,heeft u per aangetekende brief bericht ontvangen dat uw verzoek in goede orde is ontvangen,[7836],[1199],[1289]
5556,c: overig,1297,1309,22 juni 2022,59,Op 22 juni 2022 heb ik uw ingebrekestelling van 21 juni 2022 ontvangen.,heb ik uw ingebrekestelling van 21 juni 2022 ontvangen,[7837],[1310],[1364]
5559,c: overig,1444,1455,8 juli 2022,59,directie strategie divisie Juridische zaken Onze referentie 22-0267 Woo Op 8 juli 2022 heb ik een kopie van uw beroepschrift ontvangen.,heb ik een kopie van uw beroepschrift ontvangen,[7841],[1456],[1503]
5560,c: overig,1511,1525,4 oktober 2022,59,Op 4 oktober 2022 heb ik van de Rechtbank Overijssel de uitspraak op het bovengenoemd beroep ontvangen.,heb ik van de Rechtbank Overijssel de uitspraak op het bovengenoemd beroep ontvangen,[7838],[1526],[1610]
5562,c: contact,1814,1828,7 oktober 2022,59,Op 7 oktober 2022 heb ik uw verzoek voor wat betreft de onderdelen 1 en 2 doorgestuurd aan RVO en u daarover per brief geïnformeerd.,heb ik uw verzoek voor wat betreft de onderdelen 1 en 2 doorgestuurd aan RVO en u daarover per brief geïnformeerd,[7839],[1828],[1942]
5563,c: overig,1962,1976,7 oktober 2022,59,Per e-mail van 7 oktober 2022 heb ik echter van RVO vernomen dat RVO al een identiek verzoek van u in behandeling had genomen onder het kenmerk WOB/2022/065.,heb ik echter van RVO vernomen dat RVO al een identiek verzoek van u in behandeling had genomen,[7840],[1977],[2072]
5567,c: besluit datum,148,160,28 juli 2022,93,Bijlagen Datum 28 juli 2022 1 – Relevante artikelen Woo Betreft Besluit op uw Woo-verzoek inzake de anti-witwasrichtlijn,Datum,[7845],[142],[147]
5568,c: verzoek datum,279,292,12 april 2022,93,", Met uw verzoek van 12 april 2022 heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) gevraagd om informatie openbaar te maken over artikel 1f van de Wet ter voorkoming van witwassen en financieren van terrorisme (hierna: Wwft): • hierin verzoekt u om de meest recente versie van het verslag van de geïdentificeerde, geanalyseerde en beoordeelde nationale risico’s op witwassen en het financieren van terrorisme, zoals bedoeld in art.",heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) gevraagd om informatie openbaar te maken,[7846],[293],[405]
5569,c: ontvangst verzoek bevestigd,789,802,22 april 2022,93,"De ontvangst van uw verzoek heb ik schriftelijk bevestigd bij brief van 22 april 2022, met kenmerk 2022-0000129377.",ontvangst van uw verzoek heb ik schriftelijk bevestigd bij brief,[7848],[720],[784]
5570,c: beslistermijn verdaagd,839,849,9 mei 2022,93,Op 9 mei 2022 heb ik uw verzoek met twee weken verdaagd.,heb ik uw verzoek met twee weken verdaagd,[7849],[850],[891]
5572,c: inwerking treden van Woo,975,985,1 mei 2022,93,Vanaf 1 mei 2022 is de Wob vervangen door de Wet open overheid (hierna: Woo).,is de Wob vervangen door de Wet open overheid (hierna: Woo),[7850],[986],[1045]
5599,c: besluit datum,360,373,11 april 2022,102,Datum 11 april 2022,Datum,[7865],[354],[359]
5601,c: verzoek datum,482,498,27 augustus 2021,102,", In uw brief van 27 augustus 2021, ontvangen op 30 augustus 2021, heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om documenten inzake laadpalen in het kader van de Wet belastingen op milieugrondslag en de Wet waardering onroerende zaken over de periode van 2011 tot heden.",heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om documenten,[7868],[531],[625]
5602,c: verzoek ontvangen,513,529,30 augustus 2021,102,", In uw brief van 27 augustus 2021, ontvangen op 30 augustus 2021, heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om documenten inzake laadpalen in het kader van de Wet belastingen op milieugrondslag en de Wet waardering onroerende zaken over de periode van 2011 tot heden.",ontvangen,[7867],[500],[509]
5604,c: ontvangst verzoek bevestigd,849,865,2 september 2021,102,"De ontvangst van uw verzoek heb ik u schriftelijk bevestigd bij brief van 2 september 2021, met kenmerk 2021-0000179045.",ontvangst van uw verzoek heb ik u schriftelijk bevestigd bij brief,[7871],[778],[844]
5606,c: contact,989,1006,21 september 2012,102,Op 21 september 2012 hebben medewerkers van mijn ministerie met u gesproken over de invulling van uw verzoek.,hebben medewerkers van mijn ministerie met u gesproken over de invulling van uw verzoek,[10739],[1007],[1094]
5763,c: besluit datum,118,129,18 mei 2022,105,Datum 18 mei 2022,Datum,[7877],[112],[117]
5764,c: verzoek datum,152,167,31 januari 2022,105,"In uw e-mail van 31 januari 2022, ontvangen op diezelfde datum, heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om de geïnventariseerde signalen met betrekking tot zorgen, onjuistheden, weeffouten of onrechtmatigheden bij de compensatie binnen de toeslagenaffaire.",heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht,[7878],[199],[279]
5765,c: ontvangst verzoek bevestigd,510,525,9 februari 2022,105,"De ontvangst van uw verzoek heb ik u schriftelijk bevestigd bij brief van 9 februari 2022, met kenmerk 2022-0000043289.",ontvangst van uw verzoek heb ik u schriftelijk bevestigd bij brief,[7879],[439],[505]
5766,c: contact,571,584,10 maart 2022,105,Ik heb u op 10 maart 2022 uitgenodigd voor een gesprek over de behandeling van uw Wob-verzoek.,uitgenodigd voor een gesprek over de behandeling van uw Wob-verzoek,[10738],[585],[652]
5767,c: inwerking treden van Woo,663,673,1 mei 2022,105,Vanaf 1 mei 2022 is de Wob vervangen door de Wet open overheid (hierna: Woo).,is de Wob vervangen door de Wet open overheid (hierna: Woo),[7881],[674],[733]
5768,c: inwerking treden van Woo,794,799,1 mei,105,"De Woo kent geen overgangsrecht, wat betekent dat vanaf 1 mei de Woo geldt.",Woo geldt,[7882],[803],[812]
5773,c: besluit datum,111,128,23 september 2022,34,Datum 23 september 2022,Datum,[7885],[105],[110]
5774,c: verzoek datum,151,167,9 september 2022,34,"In uw verzoek van 9 september 2022, door mij ontvangen op dezelfde datum, heeft u OCW gevraagd informatie openbaar to maken m.b.t.",heeft u OCW gevraagd informatie openbaar to maken,[7886],[207],[256]
5777,c: contact,575,592,13 september 2022,34,Er is op 13 september 2022 telefonisch contact geweest ter bevestiging van het bovenstaande.,telefonisch contact geweest ter bevestiging,[7887],[593],[636]
5778,c: contact,679,696,14 september 2022,34,In de e-mail van 14 september 2022 is ook aan u aanvullende informatie verschaft.,is ook aan u aanvullende informatie verschaft,[7888],[697],[742]
5782,c: besluit datum,113,126,20 april 2022,87,IENW/BSK-2022/79875 Datum 20 april 2022,Datum,[7891],[107],[112]
5783,c: verzoek datum,153,167,7 oktober 2021,87,"heer In uw brief van 7 oktober 2021, ontvangen op 22 oktober 2021, heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) informatie verzocht over het vertrek van minister Van Nieuwenhuizen naar de Vereniging Energie Nederland.",heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) informatie verzocht,[8281],[199],[290]
5784,c: verzoek ontvangen,182,197,22 oktober 2021,87,"heer In uw brief van 7 oktober 2021, ontvangen op 22 oktober 2021, heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) informatie verzocht over het vertrek van minister Van Nieuwenhuizen naar de Vereniging Energie Nederland.",ontvangen,[7892],[169],[178]
5787,c: ontvangst verzoek bevestigd,524,539,22 oktober 2021,87,Verloop van de procedure De ontvangst van uw verzoek is op 22 oktober 2021 per e-mail bevestigd.,ontvangst van uw verzoek is per e-mail bevestigd,"[7895, 7896]","[493, 540]","[520, 560]"
5788,c: beslistermijn verdaagd,588,604,19 november 2021,87,De beslistermijn is op 19 november 2021 met vier weken verdaagd.,beslistermijn is met vier weken verdaagd,"[7897, 7898]","[568, 605]","[584, 628]"
5789,c: contact,652,668,19 november 2021,87,Hierover bent u op 19 november 2021 per e-mail geïnformeerd.,bent u per e-mail geïnformeerd,"[7899, 7900]","[642, 669]","[648, 692]"
5790,c: overig,700,714,3 januari 2022,87,Op 3 januari 2022 heeft u mij in gebreke gesteld.,heeft u mij in gebreke gesteld,[7901],[715],[745]
5791,c: overig,753,768,17 januari 2022,87,Op 17 januari 2022 heeft u bij de rechtbank Midden-Nederland een beroep niet tijdig beslissen ingesteld.,heeft u bij de rechtbank Midden-Nederland een beroep niet tijdig beslissen ingesteld,[7902],[769],[853]
5793,c: overig,1038,1050,3 maart 2022,87,Zienswijzen Op 3 maart 2022 zijn belanghebbenden in de gelegenheid gesteld om hun zienswijze naar voren te brengen.,zijn belanghebbenden in de gelegenheid gesteld om hun zienswijze naar voren te brengen,[7903],[1051],[1137]
7904,c: overig,1145,1163,9 en 10 maart 2022,87,Op 9 en 10 maart 2022 hebben de belanghebbenden hun zienswijze naar voren gebracht.,hebben de belanghebbenden hun zienswijze naar voren gebracht,[7905],[1164],[1224]
5795,c: verzoek datum,69,81,30 juli 2020,67,Op 30 juli 2020 is een Wob-verzoek ingediend.,is een Wob-verzoek ingediend,[8346],[82],[110]
5797,c: overig,517,529,30 juli 2020,67,Wet openbaarheid van bestuur Bij brief van 30 juli 2020 is het verzoek aangemerkt als een verzoek in gevolge de Wet openbaarheid van bestuur (hierna: Wob).,is het verzoek aangemerkt als een verzoek in gevolge de Wet openbaarheid van bestuur (hierna: Wob),[8347],[530],[628]
5798,c: besluit datum,967,982,20 januari 2022,67,"Wijze van openbaarmaking Dit besluit zal binnen vijf werkdagen na toezending geanonimiseerd op www.rijksoverheid.nl worden geplaatst en is via de volgende link te raadplegen: http://www.rijksoverheid.nl/documenten?trefwoorden=&periode-van=&periode- tot=&onderdeel=Ministerie+van+Sociale+Zaken+en+Werkgelenheid&type=Wob-verzoek Datum: 20 januari 2022 Hoogachtend, de Minister van Sociale Zaken en Werkgelegenheid, namens deze, Mevr.",Datum,[8348],[960],[965]
