id,from_id,to_id,type,doc_id
460,5604,7871,date-event,102
461,5606,7872,date-event,102
462,5763,7877,date-event,105
463,5764,7878,date-event,105
464,5765,7879,date-event,105
465,5766,7880,date-event,105
466,5767,7881,date-event,105
467,5768,7882,date-event,105
468,5773,7885,date-event,34
469,5774,7886,date-event,34
470,5778,7888,date-event,34
471,5777,7887,date-event,34
472,5782,7891,date-event,87
473,5783,7893,date-event,87
474,5784,7892,date-event,87
475,5785,7894,false-date,87
476,5786,7894,false-date,87
477,5787,7895,date-event,87
478,5787,7896,date-event2,87
481,5788,7898,date-event2,87
482,5788,7897,date-event,87
483,5789,7899,date-event,87
484,5789,7900,date-event2,87
485,5790,7901,date-event,87
486,5791,7902,date-event,87
487,5793,7903,date-event,87
488,7904,7905,date-event,87
489,5794,7904,false-date,87
490,5850,7918,date-event,45
491,5851,7920,date-event,45
492,5852,7919,date-event,45
494,5853,7921,false-date,45
495,5854,7921,false-date,45
496,5856,7922,date-event,45
497,5857,7923,date-event,45
498,5885,7936,date-event,28
499,5886,7937,date-event,28
500,5887,7939,date-event,28
501,5888,7940,date-event,28
502,5890,7941,date-event,28
503,5892,7942,date-event,28
504,5892,7943,date-event,28
505,5893,7944,date-event,28
506,5895,7947,date-event,95
507,7948,5898,date-event,95
508,5899,7949,date-event,95
509,5900,7951,date-event,95
510,5900,7953,date-event2,95
511,6008,7956,date-event,113
512,6009,7957,date-event,113
513,6013,7958,date-event,113
514,6016,7961,date-event,6
515,6018,7963,date-event,6
516,6019,7962,date-event,6
517,6020,7964,false-date,6
518,6021,7964,false-date,6
519,6022,7965,date-event,6
520,7966,7967,date-event,6
521,6024,7966,false-date,6
522,6025,7970,false-date,6
523,7970,7968,date-event,6
524,6027,7971,false-date,6
525,6028,7971,false-date,6
526,7971,7972,date-event,6
527,6029,7974,false-date,6
528,6030,7974,false-date,6
530,7974,7973,date-event,6
531,6063,7977,date-event,94
532,6065,7978,date-event,94
533,7979,7980,date-event,94
534,6066,7979,false-date,94
535,6067,7979,false-date,94
536,6068,7981,date-event,94
537,7984,6070,date-event,94
538,6070,7983,date-event2,94
539,6074,7987,date-event,18
540,6075,7988,date-event,18
541,6076,7989,date-event,18
542,6076,7990,date-event,18
543,6078,7992,date-event,18
544,6105,7999,date-event,63
545,6106,8000,date-event,63
546,6107,8001,date-event,63
547,6113,8006,date-event,110
548,8008,6114,date-event,110
549,6114,8007,date-event2,110
550,6116,8009,date-event,110
551,6120,8012,date-event,32
552,6121,8013,date-event,32
553,6127,8018,date-event,111
554,6128,8019,date-event,111
555,6129,8020,date-event,111
561,6174,8032,date-event,55
562,6175,8033,date-event,55
563,6177,8034,date-event,55
564,6178,8035,date-event,55
565,6188,8042,date-event,84
566,6189,8044,date-event,84
567,6190,8045,date-event,84
568,6191,8046,date-event,84
569,6192,8047,false-date,84
570,6193,8047,false-date,84
571,6197,8050,date-event,107
572,6198,8051,date-event,107
573,6200,8052,date-event,107
574,6203,8057,date-event,114
575,6204,8058,date-event,114
576,6205,8059,date-event,114
577,6207,8060,date-event,114
578,6208,8061,date-event,114
579,6209,8062,date-event,114
580,6210,8063,date-event,114
581,6210,8064,date-event2,114
582,6219,8069,date-event,109
583,6221,8070,date-event,109
584,6222,8071,date-event,109
585,8072,8073,date-event,109
586,6224,8072,false-date,109
587,6246,8078,date-event,78
588,6247,8080,date-event,78
589,6248,8082,false-date,78
590,6249,8082,false-date,78
591,6250,8081,date-event,78
592,6251,8083,date-event,78
593,6255,8087,date-event,11
594,6256,8088,date-event,11
595,6259,8089,date-event,11
596,6261,8091,date-event,11
597,8096,8095,date-event,37
598,6269,8096,false-date,37
599,6270,8098,date-event,37
600,6271,8099,date-event,37
602,6272,8101,date-event,37
603,8104,8106,date-event,42
604,6274,8104,false-date,42
605,6275,8108,date-event,42
606,6275,8109,date-event2,42
607,6276,8111,date-event,42
608,6276,8110,date-event2,42
609,6277,8112,date-event,42
610,6278,8113,date-event,42
611,6285,8116,date-event,77
612,6286,8117,date-event,77
613,6287,8118,date-event,77
614,6288,8119,date-event,77
615,6291,8121,date-event,77
616,6291,8122,date-event2,77
617,6393,8126,date-event,15
618,6392,8125,date-event,15
619,8127,6395,date-event,15
620,6399,8128,date-event,15
621,6399,8129,date-event2,15
622,6518,8132,date-event,29
623,6519,8133,date-event,29
624,6520,8134,date-event,29
625,6520,8135,date-event2,29
626,6522,8136,date-event,29
627,6522,8137,date-event2,29
628,6524,8140,date-event,46
629,6527,8141,date-event,46
630,6529,8142,date-event,46
631,6533,8144,date-event,46
632,6531,8143,date-event,46
633,6534,8146,date-event,46
634,6536,8147,date-event,46
635,6538,8150,date-event,22
636,6539,8151,date-event,22
637,6540,8152,date-event,22
638,6541,8153,date-event,22
639,6542,8155,date-event,22
640,6544,8157,date-event,22
641,6545,8158,date-event,22
642,6546,8159,date-event,22
643,6547,8162,date-event,17
644,6548,8163,date-event,17
645,6549,8164,date-event,17
646,6558,8167,date-event,88
647,6559,8169,date-event,88
649,6560,8170,false-date,88
650,6561,8170,false-date,88
651,6562,8172,date-event,88
652,6563,8173,date-event,88
653,6564,8174,date-event,88
654,6565,8175,date-event,88
655,6565,8176,date-event2,88
656,6581,8179,date-event,72
657,6582,8180,date-event,72
658,6583,8181,false-date,72
659,6584,8181,false-date,72
660,6585,8182,date-event,72
661,6586,8184,date-event,72
663,6587,8185,date-event,72
664,6589,8186,date-event,72
665,6592,8187,date-event,72
666,6594,8188,date-event,72
667,6595,8191,date-event,47
669,6597,8192,date-event,47
670,6598,8193,date-event,47
671,6600,8194,date-event,47
672,6605,8199,date-event,118
673,6607,8200,date-event,118
674,6608,8201,date-event,118
675,6604,8198,date-event,118
676,8211,8212,date-event,40
677,6652,8211,false-date,40
678,6653,8205,date-event,40
680,6654,8206,false-date,40
681,6655,8206,false-date,40
682,6656,8207,date-event,40
683,6657,8208,date-event,40
684,6658,8209,date-event,40
685,6660,8210,date-event,40
