doc_id,date,label,corrected,start_in_text,end_in_text,start_in_sent,end_in_sent,sentence
7,19 januari 2021,DATE,False,680,695,62,77,"De ontvangst van uw verzoek heb ik u bevestigd per e-mail van 19 januari 2021, met kenmerk 2021-0000009342."
7,22 februari 2021,DATE,False,732,748,3,19,Op 22 februari 2021 heeft u uw Wob-verzoek telefonisch toegelicht.
7,2 december 2021,DATE,False,802,817,3,18,Op 2 december 2021 heeft u per e-mail verzocht of gefaseerde openbaarmaking (deelbesluiten) mogelijk is.
7,10 december 2021,DATE,False,910,926,3,19,Op 10 december 2021 heeft een medewerker van mijn ministerie aangegeven dat dat mogelijk is.
15,6 augustus 2021,DATE,False,95,110,18,33,In uw bericht van 6 augustus 2021 heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om informatie.
15,19 augustus 2021,DATE,False,418,434,78,94,"Procedure De ontvangst van uw verzoek is schriftelijk bevestigd bij brief van 19 augustus 2021, kenmerk WOB2021-208."
15,1 september 2021,DATE,False,699,715,56,72,Zienswijzen U bent er over geïnformeerd in de brief van 1 september 2021 dat er een derde-belanghebbende is bij de openbaarmaking van het document en dat deze in de gelegenheid is gesteld hierover een zienswijze te geven.
15,23 februari 2022,DATE,False,953,969,85,101,Rijksdienst voor Ondernemend Nederland Vergunningen en Handhaving Datum Overwegingen 23 februari 2022 Algemene overweging: openbaarheid t.a.v.
15,23 februari 2022,DATE,False,1050,1066,36,52,Uw aanvraag is bij ons bekend onder 23 februari 2022 referentienummer WOB/2021/208.
15,23 februari 2022,DATE,False,1204,1220,103,119,"Rijksdienst voor Ondernemend Nederland Vergunningen en Handhaving Datum Relevante artikelen uit de Wob 23 februari 2022 Onze referentie WOB/2021/208 Bijlage nummer 1 Horend bij Verzoek openbaarmaking gegevens Datum 23 februari 2022 Onze referentie WOB/2021/208 Contactpersoon Relevante artikelen uit de Wob Artikel 1 In deze wet en de daarop berustende bepalingen wordt verstaan onder: a. document: een bij een bestuursorgaan berustend schriftelijk stuk of ander materiaal dat gegevens bevat; b. bestuurlijke aangelegenheid: een aangelegenheid die betrekking heeft op beleid van een bestuursorgaan, daaronder begrepen de voorbereiding en de uitvoering ervan; c. intern beraad: het beraad over een bestuurlijke aangelegenheid binnen een bestuursorgaan, dan wel binnen een kring van bestuursorganen in het kader van de gezamenlijke verantwoordelijkheid voor een bestuurlijke aangelegenheid; d. niet-ambtelijke adviescommissie: een van overheidswege ingestelde instantie, met als taak het adviseren van een of meer bestuursorganen en waarvan geen ambtenaren lid zijn, die het bestuursorgaan waaronder zij ressorteren adviseren over de onderwerpen die aan de instantie zijn voorgelegd."
15,23 februari 2022,DATE,False,1316,1332,215,231,"Rijksdienst voor Ondernemend Nederland Vergunningen en Handhaving Datum Relevante artikelen uit de Wob 23 februari 2022 Onze referentie WOB/2021/208 Bijlage nummer 1 Horend bij Verzoek openbaarmaking gegevens Datum 23 februari 2022 Onze referentie WOB/2021/208 Contactpersoon Relevante artikelen uit de Wob Artikel 1 In deze wet en de daarop berustende bepalingen wordt verstaan onder: a. document: een bij een bestuursorgaan berustend schriftelijk stuk of ander materiaal dat gegevens bevat; b. bestuurlijke aangelegenheid: een aangelegenheid die betrekking heeft op beleid van een bestuursorgaan, daaronder begrepen de voorbereiding en de uitvoering ervan; c. intern beraad: het beraad over een bestuurlijke aangelegenheid binnen een bestuursorgaan, dan wel binnen een kring van bestuursorganen in het kader van de gezamenlijke verantwoordelijkheid voor een bestuurlijke aangelegenheid; d. niet-ambtelijke adviescommissie: een van overheidswege ingestelde instantie, met als taak het adviseren van een of meer bestuursorganen en waarvan geen ambtenaren lid zijn, die het bestuursorgaan waaronder zij ressorteren adviseren over de onderwerpen die aan de instantie zijn voorgelegd."
15,23 februari 2022,DATE,False,2286,2302,0,16,23 februari 2022 2.
15,23 februari 2022,DATE,False,2547,2563,238,254,"Het bestuursorgaan verstrekt de informatie met betrekking tot de documenten Vergunningen en Handhaving die de verlangde informatie bevatten door: a. kopie ervan te geven of de letterlijke inhoud ervan in andere vorm te Datum verstrekken, 23 februari 2022 b. kennisneming van de inhoud toe te staan, Onze referentie c. een uittreksel of een samenvatting van de inhoud te geven, of WOB/2021/208 d. inlichtingen daaruit te verschaffen."
15,23 februari 2022,DATE,False,2924,2940,179,195,"Voorts blijft in afwijking van het eerste lid, aanhef en onder c, het verstrekken van milieu- Datum informatie uitsluitend achterwege voorzover het belang van openbaarmaking niet 23 februari 2022 opweegt tegen het daar genoemde belang."
15,23 februari 2022,DATE,False,3056,3072,72,88,Rijksdienst voor Ondernemend Nederland Vergunningen en Handhaving Datum 23 februari 2022 Onze referentie Inventarislijst opgevraagde gegevens WOB/2021/208 Bijlage nummer 2 Horend bij Verzoek openbaarmaking gegevens Datum 23 februari 2022 Onze referentie WOB/2021/208 Contactpersoon Inventarislijst opgevraagde gegevens Nr.
15,23 februari 2022,DATE,False,3205,3221,221,237,Rijksdienst voor Ondernemend Nederland Vergunningen en Handhaving Datum 23 februari 2022 Onze referentie Inventarislijst opgevraagde gegevens WOB/2021/208 Bijlage nummer 2 Horend bij Verzoek openbaarmaking gegevens Datum 23 februari 2022 Onze referentie WOB/2021/208 Contactpersoon Inventarislijst opgevraagde gegevens Nr.
18,22 november 2021,DATE,False,285,301,236,252,"Janssen 8004 DE Zwolle STEENOVENWEG 4A T 088 042 42 42 5708 HN HELMOND Onze referentie 5708HN4 WOB/2021/281 Datum: 9 februari 2022 Betreft: Geanonimiseerd afschrift besluit Wob-verzoek Mani B.V. Geachte heer Janssen, Met uw bericht van 22 november 2021 heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) om informatie verzocht over een bedrijf dat deelneemt aan de Subsidieregeling sanering varkenshouderijen."
18,1 december 2021,DATE,False,551,566,68,83,Beslistermijn De ontvangst van uw verzoek heb ik met mijn brief van 1 december 2021 bevestigd.
18,17 januari 2022,DATE,False,644,659,63,78,In deze brief is de beslistermijn met vier werken verdaagd tot 17 januari 2022.
18,11 januari 2022,DATE,False,683,698,19,34,Met mijn brief van 11 januari 2022 heb ik u medegedeeld dat de beslistermijn is opgeschort tot 27 januari 2022 vanwege het vragen van een zienswijze aan derden.
18,27 januari 2022,DATE,False,759,774,95,110,Met mijn brief van 11 januari 2022 heb ik u medegedeeld dat de beslistermijn is opgeschort tot 27 januari 2022 vanwege het vragen van een zienswijze aan derden.
18,13 maart 2019,DATE,False,908,921,80,93,"Zoals de Afdeling Bestuursrechtspraak van de Raad van State in de uitspraak van 13 maart 2019, (ECLI:NL:RVS:2019:795) heeft geoordeeld moeten emissiegegevens openbaar gemaakt worden."
20,10 december 2021,DATE,False,99,115,25,41,"heer , In uw bericht van 10 december 2021 heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om informatie."
20,8 maart 2022,DATE,False,412,424,78,90,"Procedure De ontvangst van uw verzoek is schriftelijk bevestigd bij brief van 8 maart 2022, kenmerk WOB/2022/293."
20,18 april 2022,DATE,False,520,533,69,82,In deze brief is tevens de beslistermijn met vier weken verdaagd tot 18 april 2022.
20,17 maart 2022,DATE,False,593,606,55,68,Zienswijzen U bent er over geïnformeerd per e-mail van 17 maart 2022 dat er een derde-belanghebbende is bij de openbaarmaking van de documenten met nummers 1 tot en met 14 en dat deze in de gelegenheid is gesteld hierover zijn zienswijze te geven.
20,11 april 2022,DATE,False,795,808,6,19,Datum 11 april 2022 Ik heb besloten de documenten met nummers 1 tot en met 14 openbaar te maken Onze referentie met uitzondering van de daarin vermelde persoonsgegevens.
20,11 april 2022,DATE,False,1387,1400,425,438,"Het voorkomen van onevenredige bevoordeling of benadeling Rijksdienst voor Ondernemend Nederland Op grond van artikel 10, tweede lid, aanhef en onder g, van de Wob blijft Vergunningen en Handhaving verstrekking van informatie achterwege voor zover het belang daarvan niet opweegt tegen het belang van het voorkomen van onevenredige bevoordeling of Datum benadeling van bij de aangelegenheid betrokken natuurlijke personen of 11 april 2022 rechtspersonen dan wel van derden."
20,11 april 2022,DATE,False,1439,1452,0,13,11 april 2022 Onze referentie Een digitaal bezwaarschrift kunt u indienen via mijn.rvo.nl/bezwaar.
20,11 april 2022,DATE,False,1644,1657,103,116,"Relevante artikelen uit de Wob Rijksdienst voor Ondernemend Nederland Vergunningen en Handhaving Datum 11 april 2022 Bijlage nummer 1 Onze referentie Horend bij Verzoek openbaarmaking gegevens WOB/2021/293 Datum 11 april 2022 Onze referentie WOB/2021/293 Contactpersoon Relevante artikelen uit de Wob Artikel 1 In deze wet en de daarop berustende bepalingen wordt verstaan onder: a. document: een bij een bestuursorgaan berustend schriftelijk stuk of ander materiaal dat gegevens bevat; b. bestuurlijke aangelegenheid: een aangelegenheid die betrekking heeft op beleid van een bestuursorgaan, daaronder begrepen de voorbereiding en de uitvoering ervan; c. intern beraad: het beraad over een bestuurlijke aangelegenheid binnen een bestuursorgaan, dan wel binnen een kring van bestuursorganen in het kader van de gezamenlijke verantwoordelijkheid voor een bestuurlijke aangelegenheid; d. niet-ambtelijke adviescommissie: een van overheidswege ingestelde instantie, met als taak het adviseren van een of meer bestuursorganen en waarvan geen ambtenaren lid zijn, die het bestuursorgaan waaronder zij ressorteren adviseren over de onderwerpen die aan de instantie zijn voorgelegd."
20,11 april 2022,DATE,False,1753,1766,212,225,"Relevante artikelen uit de Wob Rijksdienst voor Ondernemend Nederland Vergunningen en Handhaving Datum 11 april 2022 Bijlage nummer 1 Onze referentie Horend bij Verzoek openbaarmaking gegevens WOB/2021/293 Datum 11 april 2022 Onze referentie WOB/2021/293 Contactpersoon Relevante artikelen uit de Wob Artikel 1 In deze wet en de daarop berustende bepalingen wordt verstaan onder: a. document: een bij een bestuursorgaan berustend schriftelijk stuk of ander materiaal dat gegevens bevat; b. bestuurlijke aangelegenheid: een aangelegenheid die betrekking heeft op beleid van een bestuursorgaan, daaronder begrepen de voorbereiding en de uitvoering ervan; c. intern beraad: het beraad over een bestuurlijke aangelegenheid binnen een bestuursorgaan, dan wel binnen een kring van bestuursorganen in het kader van de gezamenlijke verantwoordelijkheid voor een bestuurlijke aangelegenheid; d. niet-ambtelijke adviescommissie: een van overheidswege ingestelde instantie, met als taak het adviseren van een of meer bestuursorganen en waarvan geen ambtenaren lid zijn, die het bestuursorgaan waaronder zij ressorteren adviseren over de onderwerpen die aan de instantie zijn voorgelegd."
20,11 april 2022,DATE,False,2796,2809,76,89,"Indien een verzoek te algemeen geformuleerd is, verzoekt het bestuursorgaan 11 april 2022 de verzoeker zo spoedig mogelijk om zijn verzoek te preciseren en is het hem Onze referentie daarbij behulpzaam."
20,11 april 2022,DATE,False,3246,3259,320,333,"Het bestuursorgaan verstrekt de informatie in de door de verzoeker verzochte Rijksdienst voor Ondernemend Nederland vorm, tenzij: Vergunningen en Handhaving a. het verstrekken van de informatie in die vorm redelijkerwijs niet gevergd kan worden; Datum b. de informatie reeds in een andere, voor de verzoeker gemakkelijk 11 april 2022 toegankelijke vorm voor het publiek beschikbaar is."
20,11 april 2022,DATE,False,3315,3328,0,13,11 april 2022 8.
20,11 april 2022,DATE,False,3444,3457,109,122,Rijksdienst voor Ondernemend Nederland Vergunningen en Handhaving Inventarislijst opgevraagde gegevens Datum 11 april 2022 Bijlage nummer 2 Onze referentie Horend bij Verzoek openbaarmaking gegevens WOB/2021/293 Datum 11 april 2022 Onze referentie WOB/2021/293 Contactpersoon Inventarislijst opgevraagde gegevens Nr.
20,11 april 2022,DATE,False,3553,3566,218,231,Rijksdienst voor Ondernemend Nederland Vergunningen en Handhaving Inventarislijst opgevraagde gegevens Datum 11 april 2022 Bijlage nummer 2 Onze referentie Horend bij Verzoek openbaarmaking gegevens WOB/2021/293 Datum 11 april 2022 Onze referentie WOB/2021/293 Contactpersoon Inventarislijst opgevraagde gegevens Nr.
25,14 december 2021,DATE,False,244,260,155,171,"Wob-medewerker T 088 042 42 42 KPEU_Wob@rvo.nl Datum 1 april 2022 Onze referentie Betreft Besluit op uw Wob-verzoek WOB/2021/297 Geachte , In uw brief van 14 december 2021 heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht, namens , om informatie over geregistreerd mesttransport naar het perceel op plangebied Akkerlanen (gelegen tussen de Akkerlaan, de Vijverlaan en het Postpad in de gemeente Waalwijk, welk perceel volgens de basisregistratie als grasland is aangemerkt voor de periode van 2010 t/m 2020."
25,27 december 2021,DATE,False,709,725,78,94,"Procedure De ontvangst van uw verzoek is schriftelijk bevestigd bij brief van 27 december 2021, kenmerk WOB/2021/297."
25,1 april 2022,DATE,False,1338,1350,212,224,Relevante artikelen uit de Wob Rijksdienst voor Ondernemend Nederland Vergunningen en Handhaving Datum 1 aprili 2022 Bijlage nummer 1 Onze referentie Horend bij Verzoek openbaarmaking gegevens WOB/2021/297 Datum 1 april 2022 Onze referentie WOB/2021/297 Contactpersoon Dhr.
25,1 april 2022,DATE,False,2299,2311,218,230,Rijksdienst voor Ondernemend Nederland Vergunningen en Handhaving Datum 1 aprili 2022 Onze referentie WOB/2021/297 Inventarislijst opgevraagde gegevens Bijlage nummer 2 Horend bij Verzoek openbaarmaking gegevens Datum 1 april 2022 Onze referentie WOB/2021/297 Contactpersoon Dhr.
29,21 februari 2022,DATE,False,62,78,13,29,Uw brief van 21 februari 2022 (aan BZK)
29,21 februari 2022,DATE,False,157,173,37,53,U kunt uw bezwaar Met uw verzoek van 21 februari 2022 heeft u het ministerie van Binnenlandse ook digitaal indienen op Zaken en Koninkrijksrelaties (BZK) gevraagd om informatie openbaar te maken www.bezwaarschriftenocw.nl.
29,22 maart 2022,DATE,False,364,377,18,31,In een gesprek op 22 maart 2022 heeft u aangegeven dat u op zoek bent naar informatie over de manier waarop de departementen invulling geven aan de controle op de declaraties gedaan door commissieleden en u wilt weten of al deze soorten declaraties worden gecontroleerd volgens deze werkwijze.
29,15 juli 2022,DATE,False,820,832,177,189,"Uw verzoek is vervolgens voor afhandeling onder meer doorgestuurd naar het ministerie van Onderwijs, Cultuur en Wetenschap (OCW), zoals BZK u had medegedeeld in het besluit van 15 juli 2022, kenmerk ."
29,20 juli 2022,DATE,False,895,907,48,60,Het verzoek is bij mijn ministerie ontvangen op 20 juli 2022 en diezelfde dag in behandeling genomen.
29,15 juli 2022,DATE,False,1115,1127,163,175,"Bij het instellen van externe commissies wordt bij OCW gebruik gemaakt van de Leidraad instellen externe commissies, waar ook BZK naar verwijst in het besluit van 15 juli 2022."
30,04 augustus 2022,DATE,False,68,84,15,31,Uw verzoek van 04 augustus 2022
30,4 augustus 2022,DATE,False,163,178,46,61,U kunt uw bezwaar ook digitaal indienen op Op 4 augustus 2022 heeft u mijn ministerie verzocht om openbaarmaking van www.bezwaarschriftenocw.nl.
30,18 augustus 2022,DATE,False,268,284,3,19,"Op 18 augustus 2022 hebben wij u laten weten dat het verzoek in goede orde is ontvangen, kenmerk 33795277."
30,1 september 2022,DATE,False,378,394,3,19,"Op 1 september 2022 is aangegeven dat de beoordeling van uw verzoek meer tijd in beslag neemt en deze daarom is verdaagd, kenmerk 33914064."
30,15 september 2022,DATE,False,557,574,39,56,De uiterlijke beslistermijn is daarmee 15 september 2022 geworden.
33,14 april 2022,DATE,False,293,306,24,37,"Bijlagen 2 Geachte , Op 14 april 2022 ontving ik uw verzoek waarin u vraagt om openbaarmaking van informatie."
33,15 juni 2022,DATE,False,447,459,65,77,In deze brief leest u mijn reactie op uw verzoek In de email van 15 juni 2022 bent u akkoord gegaan met de opschorting van de beslistermijn naar 7 juli 2022.
33,7 juli 2022,DATE,False,527,538,145,156,In deze brief leest u mijn reactie op uw verzoek In de email van 15 juni 2022 bent u akkoord gegaan met de opschorting van de beslistermijn naar 7 juli 2022.
33,26 juli 2022,DATE,False,943,955,0,12,26 juli 2022 Onze referentie Beoordeling van uw verzoek Wob/2022/077 Uw verzoek gaat over publieke informatie die in één of meer documenten staat.
33,26 juli 2022,DATE,False,1120,1132,27,39,"Dit is omdat de informatie 26 juli 2022 voor iedereen openbaar is, en niet alleen voor u. Onze referentie Wob/2022/077 Als u bezwaar wilt maken Als u het niet eens bent met deze beslissing, kunt u binnen zes weken na verzending van deze brief digitaal of schriftelijk een bezwaarschrift indienen."
33,26 juli 2022,DATE,False,1769,1781,376,388,"Met vriendelijke groet, De Minister van Landbouw, Natuur en Voedselkwaliteit, namens deze: Teammanager Vergunningen en handhaving Rijksdienst voor Ondernemend Nederland Bijlagen: - Bijlage 1: Relevante artikelen uit de Woo - Bijlage 2: Inventarislijst opgevraagde gegevens Rijksdienst voor Ondernemend Nederland Relevante artikelen uit de Woo Vergunningen en handhaving Datum 26 juli 2022 Onze referentie Bijlage nummer 1 Wob/2022/077 Horend bij Verzoek openbaarmaking gegevens Datum 26 juli 2022 Onze referentie Wob/2022/077 Contactpersoon Artikel 1.1 Recht op toegang Eenieder heeft recht op toegang tot publieke informatie zonder daartoe een belang te hoeven stellen, behoudens bij deze wet gestelde beperkingen."
33,26 juli 2022,DATE,False,1877,1889,484,496,"Met vriendelijke groet, De Minister van Landbouw, Natuur en Voedselkwaliteit, namens deze: Teammanager Vergunningen en handhaving Rijksdienst voor Ondernemend Nederland Bijlagen: - Bijlage 1: Relevante artikelen uit de Woo - Bijlage 2: Inventarislijst opgevraagde gegevens Rijksdienst voor Ondernemend Nederland Relevante artikelen uit de Woo Vergunningen en handhaving Datum 26 juli 2022 Onze referentie Bijlage nummer 1 Wob/2022/077 Horend bij Verzoek openbaarmaking gegevens Datum 26 juli 2022 Onze referentie Wob/2022/077 Contactpersoon Artikel 1.1 Recht op toegang Eenieder heeft recht op toegang tot publieke informatie zonder daartoe een belang te hoeven stellen, behoudens bij deze wet gestelde beperkingen."
33,26 juli 2022,DATE,False,2494,2506,382,394,"Het openbaar maken van informatie blijft eveneens achterwege voor zover het Rijksdienst voor Ondernemend Nederland belang daarvan niet opweegt tegen de volgende belangen: Vergunningen en handhaving a. de betrekkingen van Nederland met andere landen en staten en met internationale organisaties; Datum b. de economische of financiële belangen van de Staat, andere publiekrechtelijke 26 juli 2022 lichamen of bestuursorganen, in geval van milieu-informatie slechts voor zover de Onze referentie informatie betrekking heeft op handelingen met een vertrouwelijk karakter; Wob/2022/077 c. de opsporing en vervolging van strafbare feiten; d. de inspectie, controle en toezicht door bestuursorganen; e. de eerbiediging van de persoonlijke levenssfeer; f. de bescherming van andere dan in het eerste lid, onderdeel c, genoemde concurrentiegevoelige bedrijfs- en fabricagegegevens; g. de bescherming van het milieu waarop deze informatie betrekking heeft; h. de beveiliging van personen en bedrijven en het voorkomen van sabotage; i. het goed functioneren van de Staat, andere publiekrechtelijke lichamen of bestuursorganen."
33,26 juli 2022,DATE,False,3458,3470,227,239,Het eerste en tweede lid zijn niet van toepassing op milieu-informatie die betrekking heeft op emissies in het milieu Rijksdienst voor Ondernemend Nederland Vergunningen en handhaving Inventarislijst opgevraagde gegevens Datum 26 juli 2022 Bijlage nummer 2 Onze referentie Horend bij Verzoek openbaarmaking gegevens Wob/2022/077 Datum 26 juli 2022 Onze referentie Wob/2022/077 Contactpersoon Nr.
33,26 juli 2022,DATE,False,3566,3578,335,347,Het eerste en tweede lid zijn niet van toepassing op milieu-informatie die betrekking heeft op emissies in het milieu Rijksdienst voor Ondernemend Nederland Vergunningen en handhaving Inventarislijst opgevraagde gegevens Datum 26 juli 2022 Bijlage nummer 2 Onze referentie Horend bij Verzoek openbaarmaking gegevens Wob/2022/077 Datum 26 juli 2022 Onze referentie Wob/2022/077 Contactpersoon Nr.
34,09 september 2022,DATE,False,83,100,14,31,Uw e-mail van 09 september 2022
34,9 september 2022,DATE,False,151,167,18,34,"In uw verzoek van 9 september 2022, door mij ontvangen op dezelfde datum, heeft u OCW gevraagd informatie openbaar to maken m.b.t."
34,augustus 2022,DATE,False,538,551,74,87,Bij dit besluit wordt op uw verzoek ook het verslag van de stuurgroep van augustus 2022 betrokken.
34,13 september 2022,DATE,False,575,592,9,26,Er is op 13 september 2022 telefonisch contact geweest ter bevestiging van het bovenstaande.
34,14 september 2022,DATE,False,679,696,17,34,In de e-mail van 14 september 2022 is ook aan u aanvullende informatie verschaft.
34,25 augustus 2022,DATE,False,852,868,105,121,"uw verzoek en dit heeft een nieuw document opgeleverd, namelijk het conceptverslag van de stuurgroep van 25 augustus 2022."
34,14 september 2022,DATE,False,989,1006,116,133,"Daarnaast wil ik hier voor de overige door u gevraagde informatie verwijzen naar het eerder genomen deelbesluit van 14 september 2022 met volgnummer , kenmerk ."
34,25 augustus 2022,DATE,False,1102,1118,65,81,Besluit Ik heb besloten het conceptverslag van de stuurgroep van 25 augustus 2022 in het geheel niet openbaar te maken.
39,9 augustus 2022,DATE,False,263,278,27,42,IENW/BSK-2022/181752 Datum 9 augustus 2022
39,15 juli 2022,DATE,False,322,334,39,51,"Betreft Besluit op uw Woo-verzoek d.d. 15 juli 2022 (2022-58) Geachte , Bij e-mail van 15 juli 2022 heeft u bij mijn ministerie een verzoek ingediend als bedoeld in artikel 4, eerste lid, van de Wet Open Overheid (hierna: Woo)."
39,15 juli 2022,DATE,False,370,382,87,99,"Betreft Besluit op uw Woo-verzoek d.d. 15 juli 2022 (2022-58) Geachte , Bij e-mail van 15 juli 2022 heeft u bij mijn ministerie een verzoek ingediend als bedoeld in artikel 4, eerste lid, van de Wet Open Overheid (hierna: Woo)."
39,9 januari 2003,DATE,False,605,619,91,105,"- Het aanwijzingsbesluit van 9 december 1999 met kenmerk DGRLD/VI/L99.350220; - De bob van 9 januari 2003 met kenmerk DGL/02.422164; - Het aanwijzingsbesluit van 24 juni 2003 met kenmerk DGL/03.U00752; - Alle stukken behorend bij bovengenoemde besluiten, zoals onderzoeken en een eventuele aanvragen met bijlagen."
39,24 juni 2003,DATE,False,676,688,162,174,"- Het aanwijzingsbesluit van 9 december 1999 met kenmerk DGRLD/VI/L99.350220; - De bob van 9 januari 2003 met kenmerk DGL/02.422164; - Het aanwijzingsbesluit van 24 juni 2003 met kenmerk DGL/03.U00752; - Alle stukken behorend bij bovengenoemde besluiten, zoals onderzoeken en een eventuele aanvragen met bijlagen."
39,15 juli 2022,DATE,False,902,914,71,83,Verloop van de procedure De ontvangst van uw verzoek is per e-mail van 15 juli 2022 aan u bevestigd.
42,31 augustus 2021,DATE,False,213,229,27,43,"Uw kenmerk In uw brief van 31 augustus 2021 heeft u bij het ministerie van Infrastructuur en Waterstaat, met een beroep op de Wet openbaarheid van bestuur (hierna : Wob), Bij beantwoording verzocht om informatie met betrekking tot de Wet explosieven voor civiele gebruik Graag bovengenoemd (hierna: WECG)."
42,1 september 2021,DATE,False,516,532,21,37,Uw Wob-verzoek is op 1 september 2021 kenmerk en contactpersoon doorgestuurd naar de Inspectie Leefomgeving en Transport (hierna: ILT) ter vermelden verdere behandeling.
