id,from_id,to_id,type,doc_id
1267,5766,10738,date-event,105
468,5773,7885,date-event,34
469,5774,7886,date-event,34
470,5778,7888,date-event,34
471,5777,7887,date-event,34
472,5782,7891,date-event,87
474,5784,7892,date-event,87
477,5787,7895,date-event,87
478,5787,7896,date-event2,87
481,5788,7898,date-event2,87
482,5788,7897,date-event,87
483,5789,7899,date-event,87
484,5789,7900,date-event2,87
485,5790,7901,date-event,87
486,5791,7902,date-event,87
487,5793,7903,date-event,87
488,7904,7905,date-event,87
489,5794,7904,false-date,87
737,5783,8281,date-event,87
788,5795,8346,date-event,67
789,5797,8347,date-event,67
791,5798,8348,date-event,67
490,5850,7918,date-event,45
491,5851,7920,date-event,45
492,5852,7919,date-event,45
496,5856,7922,date-event,45
497,5857,7923,date-event,45
793,5859,7927,date-event,85
794,5860,7928,date-event,85
795,5860,7929,date-event2,85
798,5875,7932,date-event,85
799,5877,7933,date-event,85
498,5885,7936,date-event,28
499,5886,7937,date-event,28
500,5887,7939,date-event,28
501,5888,7940,date-event,28
502,5890,7941,date-event,28
503,5892,7942,date-event,28
504,5892,7943,date-event,28
505,5893,7944,date-event,28
738,5894,8283,date-event,28
511,6008,7956,date-event,113
512,6009,7957,date-event,113
513,6013,7958,date-event,113
739,6011,8284,date-event,113
539,6074,7987,date-event,18
540,6075,7988,date-event,18
541,6076,7989,date-event,18
542,6076,7990,date-event,18
543,6078,7992,date-event,18
544,6105,7999,date-event,63
545,6106,8000,date-event,63
546,6107,8001,date-event,63
547,6113,8006,date-event,110
548,8008,6114,date-event,110
549,6114,8007,date-event2,110
550,6116,8009,date-event,110
551,6120,8012,date-event,32
552,6121,8013,date-event,32
742,6159,8287,date-event,76
743,6160,8288,date-event,76
744,6161,8289,date-event,76
565,6188,8042,date-event,84
566,6189,8044,date-event,84
567,6190,8045,date-event,84
568,6191,8046,date-event,84
571,6197,8050,date-event,107
573,6200,8052,date-event,107
745,6198,8290,date-event,107
574,6203,8057,date-event,114
575,6204,8058,date-event,114
576,6205,8059,date-event,114
579,6209,8062,date-event,114
580,6210,8063,date-event,114
581,6210,8064,date-event2,114
1263,6208,10735,date-event,114
1264,6207,10734,date-event,114
746,8294,8295,date-event,7
747,6212,8294,false-date,7
748,6213,8294,false-date,7
749,6214,8296,date-event,7
750,6215,8297,date-event,7
751,6216,8298,date-event,7
752,6217,8299,date-event,7
1208,6211,10060,false-date,7
1209,10060,8293,date-event,7
587,6246,8078,date-event,78
588,6247,8080,date-event,78
591,6250,8081,date-event,78
592,6251,8083,date-event,78
593,6255,8087,date-event,11
594,6256,8088,date-event,11
595,6259,8089,date-event,11
596,6261,8091,date-event,11
767,6263,8319,date-event,8
768,6264,8320,date-event,8
769,6265,8321,date-event,8
770,6265,8322,date-event2,8
1262,6266,10733,date-event,8
597,8096,8095,date-event,37
598,6269,8096,false-date,37
599,6270,8098,date-event,37
600,6271,8099,date-event,37
1261,6272,10732,date-event,37
603,8104,8106,date-event,42
604,6274,8104,false-date,42
605,6275,8108,date-event,42
606,6275,8109,date-event2,42
608,6276,8110,date-event2,42
609,6277,8112,date-event,42
610,6278,8113,date-event,42
1293,6276,10771,date-event,42
611,6285,8116,date-event,77
612,6286,8117,date-event,77
613,6287,8118,date-event,77
614,6288,8119,date-event,77
615,6291,8121,date-event,77
616,6291,8122,date-event2,77
617,6393,8126,date-event,15
618,6392,8125,date-event,15
620,6399,8128,date-event,15
621,6399,8129,date-event2,15
1206,6395,8127,date-event,15
622,6518,8132,date-event,29
623,6519,8133,date-event,29
624,6520,8134,date-event,29
625,6520,8135,date-event2,29
626,6522,8136,date-event,29
627,6522,8137,date-event2,29
635,6538,8150,date-event,22
636,6539,8151,date-event,22
637,6540,8152,date-event,22
638,6541,8153,date-event,22
639,6542,8155,date-event,22
640,6544,8157,date-event,22
641,6545,8158,date-event,22
642,6546,8159,date-event,22
1210,6543,8156,date-event,22
643,6547,8162,date-event,17
644,6548,8163,date-event,17
645,6549,8164,date-event,17
646,6558,8167,date-event,88
647,6559,8169,date-event,88
651,6562,8172,date-event,88
652,6563,8173,date-event,88
653,6564,8174,date-event,88
654,6565,8175,date-event,88
655,6565,8176,date-event2,88
656,6581,8179,date-event,72
657,6582,8180,date-event,72
660,6585,8182,date-event,72
661,6586,8184,date-event,72
663,6587,8185,date-event,72
664,6589,8186,date-event,72
665,6592,8187,date-event,72
666,6594,8188,date-event,72
672,6605,8199,date-event,118
673,6607,8200,date-event,118
674,6608,8201,date-event,118
675,6604,8198,date-event,118
676,8211,8212,date-event,40
677,6652,8211,false-date,40
678,6653,8205,date-event,40
682,6656,8207,date-event,40
683,6657,8208,date-event,40
684,6658,8209,date-event,40
685,6660,8210,date-event,40
822,6722,8381,date-event,121
823,6723,8382,date-event,121
824,6724,8384,date-event,121
825,6724,8383,date-event2,121
827,6726,8387,date-event,121
828,6727,8388,date-event,121
829,6729,8389,date-event,121
1211,6725,8386,date-event,121
830,6735,8393,date-event,80
831,6736,8394,date-event,80
832,8395,8396,date-event,80
833,6738,8395,false-date,80
1279,10750,10749,false-date,80
1280,10749,8398,date-event,80
835,6744,8403,date-event,0
837,6745,8402,date-event,0
838,6743,8401,date-event,0
839,6756,8405,date-event,0
840,6757,8406,date-event,0
841,6758,8407,date-event,0
842,6760,8408,date-event,0
843,6761,8409,date-event,0
844,6763,8410,date-event,0
845,6765,8411,date-event,0
847,6765,8412,date-event2,0
1082,6771,8415,date-event,2
1083,8417,8416,date-event,2
1084,6773,8417,false-date,2
1085,6774,8417,false-date,2
1086,6777,8418,date-event,2
1087,6778,9496,false-date,2
1088,6779,9496,false-date,2
1089,9496,9497,date-event,2
1090,6780,9498,date-event,2
1091,6781,9499,date-event,2
1092,9501,9500,date-event,2
1094,6785,9502,date-event,2
1096,6782,9501,false-date,2
1097,6783,9501,false-date,2
1212,6786,9503,date-event,2
848,6788,8422,date-event,96
849,6789,8424,date-event,96
850,6790,8423,date-event,96
851,6793,8425,date-event,96
1272,6795,10743,date-event,96
853,6818,8436,date-event,5
854,6819,8440,date-event,5
855,6820,8439,date-event,5
856,6822,8441,date-event,5
857,6823,8442,date-event,5
858,6854,8448,date-event,20
859,6853,8447,date-event,20
860,6857,8449,date-event,20
861,6859,8450,date-event,20
862,6859,8451,date-event2,20
867,6883,8461,date-event,97
868,6885,8462,date-event,97
869,6890,8463,date-event,97
870,6891,8464,date-event,97
871,6892,8467,date-event,3
872,6893,8469,date-event,3
873,6894,8468,date-event,3
874,6897,8470,date-event,3
875,6900,8474,date-event,30
876,6901,8475,date-event,30
877,6902,8476,date-event,30
878,6903,8477,date-event,30
888,6974,8498,date-event,83
889,6975,8499,date-event,83
890,6976,8500,date-event,83
891,8502,8501,date-event,83
892,6978,8502,false-date,83
899,7022,8513,date-event,33
900,7023,8514,date-event,33
902,7024,8516,date-event,33
920,7072,8543,date-event,10
921,8544,8547,date-event,10
922,8545,8546,date-event,10
923,7074,8544,false-date,10
924,7075,8544,false-date,10
925,7076,8545,false-date,10
926,7077,8545,false-date,10
1277,7083,10748,false-date,10
1278,7084,10748,false-date,10
1292,10748,8548,date-event,10
930,7107,8556,date-event,27
931,7108,8557,date-event,27
932,7109,8558,date-event,27
933,7114,8559,date-event,27
934,7119,8562,date-event,116
935,7120,8564,date-event,116
936,7121,8563,date-event,116
937,7122,8565,date-event,116
938,7123,8567,date-event,116
939,7124,8568,date-event,116
940,7126,8569,date-event,116
941,7128,8570,date-event,116
942,7129,8571,date-event,116
943,7133,8572,date-event,116
944,7133,8573,date-event2,116
945,7168,8576,date-event,61
946,7171,8578,date-event,61
947,7172,8577,date-event,61
948,7173,8579,date-event,61
949,7175,8581,date-event,61
950,7178,8584,date-event,125
951,7179,8585,date-event,125
952,7182,8586,date-event,125
953,7183,8587,date-event,125
1063,7667,9469,date-event,64
1064,7672,9470,date-event,64
1065,7673,9471,date-event,64
1067,7673,9472,date-event2,64
1068,7666,9468,date-event2,64
1069,7719,9479,date-event,51
1070,7721,9481,date-event,51
1071,7722,9480,date-event,51
1072,7726,9483,date-event,51
1073,7727,9485,date-event,51
1075,7728,9486,date-event,51
1076,7729,9487,date-event,51
1077,7730,9488,date-event,51
1207,7725,9482,date-event,51
1273,7727,10744,date-event2,51
1078,7742,9492,date-event,98
1079,7744,9493,date-event,98
1080,7745,9494,date-event,98
1081,7746,9495,date-event,98
954,9052,9316,date-event,75
956,9056,9318,date-event,75
957,9055,9317,date-event,75
958,9057,9319,date-event,75
959,9060,9323,date-event,1
960,9058,9322,date-event,1
961,9063,9324,date-event,1
962,9064,9325,date-event,1
963,9065,9326,date-event,1
964,9328,9327,date-event,1
965,9066,9328,false-date,1
966,9067,9328,false-date,1
967,9068,9329,date-event,1
968,9069,9330,date-event,1
969,9070,9331,date-event,1
970,9071,9332,date-event,1
971,9072,9333,date-event,1
972,9073,9335,date-event,1
973,9074,9336,date-event,1
974,9075,9337,date-event,1
975,9076,9338,date-event,1
976,9081,9341,date-event,48
977,9083,9342,date-event,48
978,9084,9343,date-event,48
979,9085,9344,date-event,48
980,9348,9347,date-event,112
981,9088,9349,date-event,112
982,9093,9351,date-event,112
983,9095,9352,date-event,112
984,9124,9359,date-event,23
985,9125,9358,date-event,23
986,9126,9360,date-event,23
987,9127,9361,date-event,23
988,9129,9364,date-event,41
989,9132,9365,date-event,41
990,9132,9366,date-event2,41
991,9138,9368,date-event,41
992,9139,9369,date-event,41
993,9139,9370,date-event2,41
994,9137,9381,date-event,41
995,9141,9371,date-event,41
996,9142,9372,date-event,41
997,9143,9373,date-event,41
999,9374,9375,date-event,41
1000,9144,9374,false-date,41
1001,9145,9377,false-date,41
1002,9377,9376,date-event,41
1003,9146,9378,date-event,41
1004,9147,9379,date-event,41
1005,9151,9380,date-event,41
1006,9164,9384,date-event,35
1007,9167,9385,date-event,35
1008,9168,9386,date-event,35
1009,9169,9387,date-event,35
1010,9172,9388,date-event,35
1011,9172,9389,date-event2,35
1012,9173,9390,date-event,35
1013,9174,9391,date-event,35
1014,9176,9394,date-event,6
1015,9178,9396,date-event,6
1016,9179,9395,date-event,6
1017,9182,9397,date-event,6
1018,9184,9399,false-date,6
1020,9399,9401,date-event,6
1022,9403,9402,date-event,6
1024,9185,9403,false-date,6
1025,9187,9404,false-date,6
1026,9188,9404,false-date,6
1027,9404,9405,date-event,6
1028,9407,9408,date-event,6
1029,9189,9407,false-date,6
1030,9190,9407,false-date,6
1031,9222,9411,date-event,122
1032,9225,9412,date-event,122
1033,9229,9415,date-event,122
1034,9228,9413,date-event,122
1035,9228,9414,date-event2,122
1036,9279,9427,date-event,39
1037,9282,9428,date-event,39
1038,9285,9430,date-event,39
1039,9285,9431,date-event2,39
1040,9287,9434,date-event,100
1041,9289,9436,date-event,100
1042,9289,9437,date-event2,100
1043,9290,9435,date-event,100
1044,9291,9439,date-event,100
1045,9291,9440,date-event2,100
1047,9292,9441,date-event,100
1048,9294,9442,date-event,100
1050,9443,9444,date-event,100
1051,9296,9443,false-date,100
1053,9297,9448,false-date,100
1213,9448,9445,date-event,100
1054,9298,9452,date-event,47
1055,9300,9453,date-event,47
1056,9302,9456,date-event,47
1057,9304,9457,date-event,47
1058,9307,9460,date-event,109
1059,9309,9461,date-event,109
1060,9310,9463,date-event,109
1281,10752,9464,date-event,109
1282,10752,9465,date-event2,109
1284,9312,10752,false-date,109
1102,9541,9830,date-event,138
1103,9542,9829,date-event,138
1104,9540,9828,date-event,138
1105,9544,9831,date-event,138
1106,9545,9832,date-event,138
1107,9548,9834,date-event,138
1109,9550,9835,date-event,138
1110,9550,9836,date-event2,138
1111,9555,9837,date-event,138
1274,9547,10745,date-event,138
1112,9560,9840,date-event,128
1113,9562,9842,date-event,128
1114,9563,9841,date-event,128
1115,9566,9843,date-event,128
1116,9567,9844,date-event,128
1117,9568,9845,date-event,128
1118,9569,9846,date-event,128
1120,9573,9850,date-event,141
1121,9574,9851,date-event,141
1290,9572,10769,false-date,141
1291,10769,9849,date-event,141
1122,9578,9854,date-event,148
1123,9579,9855,date-event,148
1124,9580,9856,date-event,148
1125,9581,9857,date-event,148
1126,9581,9858,date-event2,148
1127,9583,9859,date-event,148
1128,9585,9860,date-event,148
1129,9585,9861,date-event2,148
1130,9590,9875,false-date,142
1131,9591,9875,false-date,142
1132,9875,9864,date-event,142
1133,9592,9866,date-event,142
1134,9593,9867,date-event,142
1135,9597,9878,date-event,143
1136,9598,9879,date-event,143
1137,9599,9880,date-event,143
1138,9603,9883,date-event,127
1139,9604,9884,date-event,127
1140,9606,9885,date-event,127
1141,9618,9889,date-event,150
1142,9619,9891,date-event,150
1143,9620,9890,date-event,150
1144,9621,9892,date-event,150
1145,9622,9893,date-event,150
1147,9623,9894,date-event,150
1148,9624,9895,date-event,150
1149,9628,9899,false-date,144
1150,9629,9899,false-date,144
1151,9899,9898,date-event,144
1153,9630,9900,date-event,144
1154,9663,9910,date-event,129
1155,9662,9907,date-event,129
1156,9664,9909,date-event,129
1157,9665,9911,date-event,129
1158,9666,9912,date-event,129
1159,9915,9913,date-event,129
1160,9915,9914,date-event2,129
1161,9668,9915,false-date,129
1162,9669,9915,false-date,129
1163,9670,9916,date-event,129
1164,9676,9919,date-event,126
1165,9677,9920,date-event,126
1166,9679,9921,date-event,126
1167,9681,9922,date-event,126
1168,9685,9924,date-event,126
1169,9685,9925,date-event2,126
1170,9755,9928,date-event,133
1171,9756,9930,date-event,133
1172,9757,9929,date-event,133
1173,9763,9931,date-event,133
1175,9765,9934,date-event,133
1176,9766,9935,date-event,133
1177,9767,9936,date-event,133
1275,9764,10746,date-event,133
1178,9775,9939,date-event,130
1179,9777,9940,date-event,130
1180,9778,9941,date-event,130
1181,9781,9944,date-event,149
1182,9783,9945,date-event,149
1183,9784,9946,false-date,149
1184,9785,9946,false-date,149
1185,9946,9947,date-event,149
1186,9946,9948,date-event2,149
1187,9786,9949,date-event2,149
1188,10025,10024,date-event,155
1189,9956,10025,false-date,155
1190,9957,10025,false-date,155
1191,9958,10026,date-event,155
1192,9959,10028,date-event,155
1214,9961,10029,date-event,155
1194,9967,10032,date-event,152
1195,9969,10033,date-event,152
1196,9968,10034,date-event,152
1197,9970,10035,date-event,152
1198,9994,10047,date-event,151
1200,9996,10049,date-event,151
1201,9997,10048,date-event,151
1202,10003,10050,date-event,151
1203,10005,10051,date-event,151
1226,10013,10130,date-event,154
1227,10014,10129,date-event,154
1228,10015,10128,date-event,154
1229,10016,10131,date-event,154
1230,10018,10132,date-event,154
1231,10019,10133,date-event,154
1217,10079,10114,date-event,160
1218,10080,10116,date-event,160
1219,10081,10115,date-event,160
1220,10083,10117,date-event,160
1221,10085,10119,date-event,160
1222,10087,10120,date-event,160
1223,10088,10121,date-event,160
1224,10090,10122,date-event,160
1225,10090,10123,date-event2,160
1248,10084,10118,date-event,160
1233,10254,10425,date-event,166
1234,10255,10427,date-event,166
1235,10256,10426,date-event,166
1236,10257,10428,date-event,166
1237,10258,10429,date-event,166
1238,10259,10430,date-event,166
1239,10259,10431,date-event2,166
1240,10625,10708,date-event,180
1241,10626,10710,date-event,180
1242,10627,10709,date-event,180
1243,10713,10711,date-event,180
1244,10713,10712,date-event2,180
1245,10628,10713,false-date,180
1246,10629,10714,date-event,180
1276,10630,10747,date-event,180
1285,10754,10764,date-event,259
1286,10756,10766,date-event,259
1287,10756,10767,date-event2,259
1288,10757,10765,date-event,259
1289,10758,10768,date-event,259
